Feature	Inclusion	Comparator	Fixed SMD	Rand SMD	Fixed P	Rand P	I2	Tau	Chaput	Frankel	Gopalakrishnan	Matson	Routy NSCLC	Routy RCC
Cellular.Processes.Cell.Growth.and.Death.Apoptosis-1	UseforMeta	Response	-0.0394	-0.0394	0.7423	0.7423	0.0%	0	92.3076923076923	100	100	100	97.7011494252874	98.4848484848485
Cellular.Processes.Cell.Growth.and.Death.Cell.cycle-2	UseforMeta	Response	0.2878	0.2878	0.0167	0.0167	0.0%	0	0	35.8974358974359	13.953488372093	21.4285714285714	14.9425287356322	21.2121212121212
Cellular.Processes.Cell.Growth.and.Death.Cell.cycle.Caulobacter-3	UseforMeta	Response	-0.0198	-0.0451	0.8692	0.7630	31.9%	0.0422	100	100	100	100	100	100
Cellular.Processes.Cell.Growth.and.Death.Meiosis.yeast-4	UseforMeta	Response	0.0264	0.0093	0.8262	0.9508	32.3%	0.0432	100	100	97.6744186046512	100	97.7011494252874	100
Cellular.Processes.Cell.Growth.and.Death.p53.signaling.pathway-5	UseforMeta	Response	0.0654	0.1384	0.5879	0.4519	53.7%	0.1057	23.0769230769231	23.0769230769231	20.9302325581395	52.3809523809524	34.4827586206897	54.5454545454545
Cellular.Processes.Cell.Motility.Bacterial.chemotaxis-6	UseforMeta	Response	0.2016	0.2016	0.0930	0.0930	0.0%	0	100	100	100	100	100	100
Cellular.Processes.Cell.Motility.Bacterial.motility.proteins-7	UseforMeta	Response	0.2634	0.2634	0.0287	0.0287	0.0%	0	100	100	100	100	100	100
Cellular.Processes.Cell.Motility.Cytoskeleton.proteins-8	UseforMeta	Response	0.1909	0.2005	0.1132	0.1943	35.5%	0.0500	100	100	100	100	100	100
Cellular.Processes.Cell.Motility.Flagellar.assembly-9	UseforMeta	Response	0.2628	0.2628	0.0288	0.0288	0.0%	0	100	100	100	100	100	100
Cellular.Processes.Transport.and.Catabolism.Endocytosis-10	UseforMeta	Response	-0.0039	-0.0039	0.9740	0.9740	0.0%	0	3.84615384615385	5.12820512820513	2.32558139534884	4.76190476190476	3.44827586206897	4.54545454545455
Cellular.Processes.Transport.and.Catabolism.Lysosome-11	UseforMeta	Response	-0.2128	-0.2128	0.0761	0.0761	0.0%	0	100	100	100	100	100	100
Cellular.Processes.Transport.and.Catabolism.Peroxisome-12	UseforMeta	Response	-0.2401	-0.2401	0.0455	0.0455	0.0%	0	100	100	100	100	100	100
Cellular.Processes.Transport.and.Catabolism.Phagosome-13	UseforMeta	Response	0.2875	0.2875	0.0168	0.0168	0.0%	0	0	35.8974358974359	13.953488372093	19.047619047619	14.9425287356322	21.2121212121212
Environmental.Information.Processing.Membrane.Transport.ABC.transporters-14	UseforMeta	Response	0.1086	0.1086	0.3654	0.3654	0.0%	0	100	100	100	100	100	100
Environmental.Information.Processing.Membrane.Transport.Bacterial.secretion-15	UseforMeta	Response	0.1057	0.1181	0.3797	0.4396	34.4%	0.0475	100	100	100	100	100	100
Environmental.Information.Processing.Membrane.Transport.Phosphotransferase.-16	UseforMeta	Response	-0.0551	-0.0551	0.6457	0.6457	0.0%	0	100	100	100	100	100	100
Environmental.Information.Processing.Membrane.Transport.Secretion.system-17	UseforMeta	Response	0.2002	0.2233	0.0972	0.1831	44.7%	0.0739	100	100	100	100	100	100
Environmental.Information.Processing.Membrane.Transport.Transporters-18	UseforMeta	Response	0.0927	0.0974	0.4399	0.4401	7.9%	0.0077	100	100	100	100	100	100
