Feature	Inclusion	Comparator	Fixed SMD	Rand SMD	Fixed P	Rand P	I2	Tau	Chaput	Frankel	Gopalakrishnan	Matson	Routy NSCLC	Routy RCC
Acidaminococcus_fermentans-1	UseforMeta	Response	-0.0343	-0.0343	0.7744	0.7744	0.0%	0	3.84615384615385	5.12820512820513	0	2.38095238095238	6.89655172413793	15.1515151515152
Acidaminococcus_intestinalis:Acidaminococcus_intestini-2	UseforMeta	Response	-0.0296	-0.0296	0.8048	0.8048	0.0%	0	3.84615384615385	0	30.2325581395349	21.4285714285714	0	0
Acidaminococcus_intestini-3	UseforMeta	Response	0.1433	0.1433	0.2313	0.2313	0.0%	0	0	2.56410256410256	0	0	17.2413793103448	16.6666666666667
Acidaminococcus_unclassified-4	UseforMeta	Response	-0.0011	-0.0011	0.9929	0.9929	0.0%	0	0	41.025641025641	0	0	26.4367816091954	13.6363636363636
Actinomyces_graevenitzii-5	UseforMeta	Response	-0.2330	-0.2300	0.0541	0.1983	51.1%	0.0955	0	46.1538461538462	4.65116279069767	4.76190476190476	16.0919540229885	6.06060606060606
Actinomyces_odontolyticus-6	UseforMeta	Response	-0.0551	-0.0656	0.6467	0.6247	17.1%	0.0185	7.69230769230769	74.3589743589744	6.97674418604651	33.3333333333333	6.89655172413793	3.03030303030303
Actinomyces_oris-7	UseforMeta	Response	-0.0640	-0.0640	0.5927	0.5927	0.0%	0	0	28.2051282051282	0	0	0	0
Actinomyces_turicensis-8	UseforMeta	Response	0.0358	0.0358	0.7646	0.7646	0.0%	0	0	7.69230769230769	0	2.38095238095238	0	6.06060606060606
Actinomyces_viscosus-9	UseforMeta	Response	-0.1157	-0.1157	0.3342	0.3342	0.0%	0	3.84615384615385	43.5897435897436	0	0	1.14942528735632	0
Adlercreutzia_equolifaciens-10	UseforMeta	Response	0.0566	0.0566	0.6363	0.6363	0.0%	0	46.1538461538462	79.4871794871795	0	0	39.0804597701149	66.6666666666667
Adlercreutzia_equolifaciens:Asaccharobacter_celatus-11	UseforMeta	Response	-0.1167	-0.1167	0.3302	0.3302	0.0%	0	34.6153846153846	0	20.9302325581395	66.6666666666667	0	0
Aggregatibacter_segnis-12	UseforMeta	Response	0.0019	0.0019	0.9871	0.9871	0.0%	0	0	0	4.65116279069767	0	1.14942528735632	1.51515151515152
Akkermansia_muciniphila-13	UseforMeta	Response	0.1689	0.1689	0.1597	0.1597	0.0%	0	3.84615384615385	94.8717948717949	60.4651162790698	92.8571428571429	56.3218390804598	68.1818181818182
Alistipes_finegoldii-14	UseforMeta	Response	-0.1223	-0.1204	0.3088	0.3495	10.8%	0.0109	53.8461538461538	84.6153846153846	76.7441860465116	71.4285714285714	68.9655172413793	81.8181818181818
Alistipes_finegoldii:Alistipes_senegalensis-15	UseforMeta	Response	-0.0655	-0.0655	0.5840	0.5840	0.0%	0	0	0	67.4418604651163	61.9047619047619	0	0
Alistipes_indistinctus-16	UseforMeta	Response	0.1172	0.1172	0.3278	0.3278	0.0%	0	34.6153846153846	53.8461538461538	27.906976744186	19.047619047619	58.6206896551724	65.1515151515152
Alistipes_massiliensis-17	UseforMeta	Response	-0.0488	-0.0488	0.6835	0.6835	0.0%	0	57.6923076923077	0	6.97674418604651	7.14285714285714	0	0
Alistipes_massiliensis:Alistipes_senegalensis-18	UseforMeta	Response	-0.0256	-0.0256	0.8304	0.8304	0.0%	0	26.9230769230769	0	0	0	0	0
Alistipes_onderdonkii-19	UseforMeta	Response	-0.1532	-0.1532	0.2008	0.2008	0.0%	0	73.0769230769231	92.3076923076923	62.7906976744186	83.3333333333333	67.816091954023	78.7878787878788
Alistipes_putredinis-20	UseforMeta	Response	0.1619	0.1619	0.1765	0.1765	0.0%	0	0	100	0	0	70.1149425287356	83.3333333333333
Alistipes_senegalensis-21	UseforMeta	Response	-0.1085	-0.1085	0.3658	0.3658	0.0%	0	57.6923076923077	58.974358974359	34.8837209302326	47.6190476190476	55.1724137931034	75.7575757575758
Alistipes_shahii-22	UseforMeta	Response	0.0919	0.0919	0.4438	0.4438	0.0%	0	53.8461538461538	92.3076923076923	55.8139534883721	69.0476190476191	63.2183908045977	87.8787878787879
Alistipes_sp_AP11-23	UseforMeta	Response	0.0657	0.0657	0.5825	0.5825	0.0%	0	0	23.0769230769231	0	0	22.9885057471264	30.3030303030303
Alistipes_unclassified-24	UseforMeta	Response	-0.0461	-0.0461	0.7005	0.7005	0.0%	0	0	23.0769230769231	0	0	36.7816091954023	27.2727272727273
Alloscardovia_omnicolens-25	UseforMeta	Response	-0.1561	-0.1561	0.1925	0.1925	0.0%	0	0	20.5128205128205	0	4.76190476190476	5.74712643678161	3.03030303030303
Anaerococcus_vaginalis-26	UseforMeta	Response	0.0229	0.0236	0.8489	0.8695	26.7%	0.0329	0	25.6410256410256	2.32558139534884	7.14285714285714	0	0
Anaerofustis_stercorihominis-27	UseforMeta	Response	-0.0243	-0.0243	0.8391	0.8391	0.0%	0	0	58.974358974359	4.65116279069767	28.5714285714286	1.14942528735632	0
Anaerostipes_butyraticus-28	UseforMeta	Response	-0.0138	-0.0138	0.9079	0.9079	0.0%	0	96.1538461538462	0	6.97674418604651	28.5714285714286	0	0
Anaerostipes_caccae-29	UseforMeta	Response	-0.0477	-0.0477	0.6908	0.6908	0.0%	0	3.84615384615385	23.0769230769231	25.5813953488372	26.1904761904762	5.74712643678161	0
Anaerostipes_hadrus-30	UseforMeta	Response	0.1969	0.1969	0.1007	0.1007	0.0%	0	0	87.1794871794872	0	0	43.6781609195402	69.6969696969697
Anaerostipes_unclassified-31	UseforMeta	Response	-0.1255	-0.1255	0.2946	0.2946	0.0%	0	0	20.5128205128205	0	0	20.6896551724138	1.51515151515152
Anaerotruncus_colihominis-32	UseforMeta	Response	-0.1519	-0.1519	0.2056	0.2056	0.0%	0	38.4615384615385	89.7435897435897	53.4883720930233	66.6666666666667	59.7701149425287	48.4848484848485
Anaerotruncus_unclassified-33	UseforMeta	Response	-0.0596	-0.0596	0.6190	0.6190	0.0%	0	0	82.0512820512821	0	0	58.6206896551724	66.6666666666667
Atopobium_parvulum-34	UseforMeta	Response	-0.1361	-0.1101	0.2586	0.4878	38.9%	0.0576	0	33.3333333333333	2.32558139534884	16.6666666666667	18.3908045977011	6.06060606060606
Bacteroidales_bacterium_ph8-35	UseforMeta	Response	0.1662	0.1662	0.1654	0.1654	0.0%	0	0	51.2820512820513	0	0	67.816091954023	83.3333333333333
Bacteroides_acidifaciens-36	UseforMeta	Response	-0.0619	-0.0619	0.6049	0.6049	0.0%	0	3.84615384615385	0	86.046511627907	83.3333333333333	0	0
Bacteroides_acidifaciens:Bacteroides_ovatus-37	UseforMeta	Response	0.0011	0.0011	0.9926	0.9926	0.0%	0	0	0	23.2558139534884	9.52380952380952	0	0
Bacteroides_acidifaciens:Bacteroides_uniformis-38	UseforMeta	Response	-0.0352	-0.0352	0.7681	0.7681	0.0%	0	0	0	25.5813953488372	9.52380952380952	0	0
Bacteroides_acidifaciens:Bacteroides_xylanisolvens-39	UseforMeta	Response	-0.0379	-0.0379	0.7514	0.7514	0.0%	0	7.69230769230769	0	32.5581395348837	42.8571428571429	0	0
Bacteroides_barnesiae-40	UseforMeta	Response	0.0619	0.0619	0.6056	0.6056	0.0%	0	3.84615384615385	2.56410256410256	0	0	1.14942528735632	0
Bacteroides_caccae-41	UseforMeta	Response	0.0787	0.0684	0.5133	0.6626	37.5%	0.0543	42.3076923076923	100	69.7674418604651	57.1428571428571	62.0689655172414	68.1818181818182
Bacteroides_caccae:Bacteroides_faecis:Bacteroides_thetaiotaomicron-42	UseforMeta	Response	-0.0112	-0.0112	0.9252	0.9252	0.0%	0	11.5384615384615	0	0	0	0	0
Bacteroides_cellulosilyticus-43	UseforMeta	Response	-0.0589	-0.0589	0.6220	0.6220	0.0%	0	42.3076923076923	87.1794871794872	44.1860465116279	57.1428571428571	58.6206896551724	69.6969696969697
Bacteroides_cellulosilyticus:Bacteroides_intestinalis-44	UseforMeta	Response	-0.1079	-0.1079	0.3673	0.3673	0.0%	0	50	0	6.97674418604651	7.14285714285714	0	0
Bacteroides_clarus-45	UseforMeta	Response	-0.0636	-0.0636	0.5951	0.5951	0.0%	0	23.0769230769231	15.3846153846154	6.97674418604651	4.76190476190476	27.5862068965517	50
Bacteroides_coprocola-46	UseforMeta	Response	-0.2786	-0.2786	0.0207	0.0207	0.0%	0	7.69230769230769	15.3846153846154	4.65116279069767	2.38095238095238	14.9425287356322	22.7272727272727
Bacteroides_coprophilus-47	UseforMeta	Response	-0.1063	-0.1063	0.3754	0.3754	0.0%	0	3.84615384615385	17.9487179487179	6.97674418604651	0	6.89655172413793	13.6363636363636
