"Study"	"Type"	"thresh"	"SN"	"SP"	"PPV"	"NPV"	"ACC"	"F1"
"Chaput"	"lit-agg"	"-2.4"	100	0	"34.6153846153846"	"NaN"	"34.6153846153846"	"51.4285714285714"
"Chaput"	"lit-agg"	"-1.4"	100	0	"34.6153846153846"	"NaN"	"34.6153846153846"	"51.4285714285714"
"Chaput"	"lit-agg"	"0.2"	100	5.88235294117647	"36"	"100"	"38.4615384615385"	"52.9411764705882"
"Chaput"	"lit-agg"	"2.7"	88.8888888888889	5.88235294117647	"33.3333333333333"	"50"	"34.6153846153846"	"48.4848484848485"
"Chaput"	"lit-agg"	"3.5"	88.8888888888889	11.7647058823529	"34.7826086956522"	"66.6666666666667"	"38.4615384615385"	"50"
"Chaput"	"lit-agg"	"3.55"	88.8888888888889	17.6470588235294	"36.3636363636364"	"75"	"42.3076923076923"	"51.6129032258064"
"Chaput"	"lit-agg"	"4.3"	88.8888888888889	23.5294117647059	"38.0952380952381"	"80"	"46.1538461538462"	"53.3333333333333"
"Chaput"	"lit-agg"	"5.05"	88.8888888888889	29.4117647058824	"40"	"83.3333333333333"	"50"	"55.1724137931034"
"Chaput"	"lit-agg"	"5.4"	88.8888888888889	35.2941176470588	"42.1052631578947"	"85.7142857142857"	"53.8461538461538"	"57.1428571428571"
"Chaput"	"lit-agg"	"6.25"	88.8888888888889	41.1764705882353	"44.4444444444444"	"87.5"	"57.6923076923077"	"59.2592592592593"
"Chaput"	"lit-agg"	"6.4"	88.8888888888889	47.0588235294118	"47.0588235294118"	"88.8888888888889"	"61.5384615384615"	"61.5384615384615"
"Chaput"	"lit-agg"	"6.7"	88.8888888888889	52.9411764705882	"50"	"90"	"65.3846153846154"	"64"
"Chaput"	"lit-agg"	"8.1"	88.8888888888889	58.8235294117647	"53.3333333333333"	"90.9090909090909"	"69.2307692307692"	"66.6666666666667"
"Chaput"	"lit-agg"	"8.85"	88.8888888888889	64.7058823529412	"57.1428571428571"	"91.6666666666667"	"73.0769230769231"	"69.5652173913043"
"Chaput"	"lit-agg"	"9.8"	88.8888888888889	70.5882352941177	"61.5384615384615"	"92.3076923076923"	"76.9230769230769"	"72.7272727272727"
"Chaput"	"lit-agg"	"10.25"	77.7777777777778	70.5882352941177	"58.3333333333333"	"85.7142857142857"	"73.0769230769231"	"66.6666666666667"
"Chaput"	"lit-agg"	"10.9"	77.7777777777778	76.4705882352941	"63.6363636363636"	"86.6666666666667"	"76.9230769230769"	"70"
"Chaput"	"lit-agg"	"11.1"	66.6666666666667	76.4705882352941	"60"	"81.25"	"73.0769230769231"	"63.1578947368421"
"Chaput"	"lit-agg"	"11.75"	66.6666666666667	82.3529411764706	"66.6666666666667"	"82.3529411764706"	"76.9230769230769"	"66.6666666666667"
"Chaput"	"lit-agg"	"14.2"	55.5555555555556	82.3529411764706	"62.5"	"77.7777777777778"	"73.0769230769231"	"58.8235294117647"
"Chaput"	"lit-agg"	"14.25"	55.5555555555556	88.2352941176471	"71.4285714285714"	"78.9473684210526"	"76.9230769230769"	"62.5"
"Chaput"	"lit-agg"	"14.2944038929441"	55.5555555555556	94.1176470588235	"83.3333333333333"	"80"	"80.7692307692308"	"66.6666666666667"
"Chaput"	"lit-agg"	"17.25"	44.4444444444444	94.1176470588235	"80"	"76.1904761904762"	"76.9230769230769"	"57.1428571428571"
"Chaput"	"lit-agg"	"18.5"	44.4444444444444	100	"100"	"77.2727272727273"	"80.7692307692308"	"61.5384615384615"
"Chaput"	"lit-agg"	"18.65"	33.3333333333333	100	"100"	"73.9130434782609"	"76.9230769230769"	"50"
"Chaput"	"lit-agg"	"22.65"	22.2222222222222	100	"100"	"70.8333333333333"	"73.0769230769231"	"36.3636363636364"
"Chaput"	"lit-agg"	"23.05"	11.1111111111111	100	"100"	"68"	"69.2307692307692"	"20"
"Chaput"	"lit-agg"	"24.05"	0	100	"NaN"	"65.3846153846154"	"65.3846153846154"	"NaN"
"Frankel"	"lit-agg"	"-15.5485904538905"	100	0	"61.5384615384615"	"NaN"	"61.5384615384615"	"76.1904761904762"
"Frankel"	"lit-agg"	"-14.5485904538905"	100	0	"61.5384615384615"	"NaN"	"61.5384615384615"	"76.1904761904762"
"Frankel"	"lit-agg"	"-11.2953947382895"	100	6.66666666666667	"63.1578947368421"	"100"	"64.1025641025641"	"77.4193548387097"
"Frankel"	"lit-agg"	"-11.00974468164"	100	13.3333333333333	"64.8648648648649"	"100"	"66.6666666666667"	"78.688524590164"
"Frankel"	"lit-agg"	"-10.2324668234483"	95.8333333333333	13.3333333333333	"63.8888888888889"	"66.6666666666667"	"64.1025641025641"	"76.6666666666667"
"Frankel"	"lit-agg"	"-6.98021686263971"	91.6666666666667	13.3333333333333	"62.8571428571429"	"50"	"61.5384615384615"	"74.5762711864407"
"Frankel"	"lit-agg"	"-6.16341332001883"	87.5	13.3333333333333	"61.7647058823529"	"40"	"58.974358974359"	"72.4137931034483"
"Frankel"	"lit-agg"	"-5.75393340722252"	87.5	20	"63.6363636363636"	"50"	"61.5384615384615"	"73.6842105263158"
"Frankel"	"lit-agg"	"-4.66750652246495"	87.5	26.6666666666667	"65.625"	"57.1428571428571"	"64.1025641025641"	"75"
"Frankel"	"lit-agg"	"-4.41237689601648"	83.3333333333333	26.6666666666667	"64.5161290322581"	"50"	"61.5384615384615"	"72.7272727272727"
"Frankel"	"lit-agg"	"-3.44405217699396"	79.1666666666667	26.6666666666667	"63.3333333333333"	"44.4444444444444"	"58.974358974359"	"70.3703703703704"
"Frankel"	"lit-agg"	"-3.1709046150546"	75	26.6666666666667	"62.0689655172414"	"40"	"56.4102564102564"	"67.9245283018868"
"Frankel"	"lit-agg"	"-2.71321586499471"	75	33.3333333333333	"64.2857142857143"	"45.4545454545455"	"58.974358974359"	"69.2307692307692"
"Frankel"	"lit-agg"	"-1.71937755845875"	75	40	"66.6666666666667"	"50"	"61.5384615384615"	"70.5882352941177"
"Frankel"	"lit-agg"	"-1.5368873696751"	70.8333333333333	40	"65.3846153846154"	"46.1538461538462"	"58.974358974359"	"68"
"Frankel"	"lit-agg"	"1.76821944911959"	70.8333333333333	46.6666666666667	"68"	"50"	"61.5384615384615"	"69.3877551020408"
"Frankel"	"lit-agg"	"1.85594867250544"	66.6666666666667	46.6666666666667	"66.6666666666667"	"46.6666666666667"	"58.974358974359"	"66.6666666666667"
"Frankel"	"lit-agg"	"2.68789312323834"	62.5	46.6666666666667	"65.2173913043478"	"43.75"	"56.4102564102564"	"63.8297872340426"
"Frankel"	"lit-agg"	"2.73757928903646"	62.5	53.3333333333333	"68.1818181818182"	"47.0588235294118"	"58.974358974359"	"65.2173913043478"
"Frankel"	"lit-agg"	"3.09265282391678"	58.3333333333333	53.3333333333333	"66.6666666666667"	"44.4444444444444"	"56.4102564102564"	"62.2222222222222"
"Frankel"	"lit-agg"	"3.90775016778302"	58.3333333333333	60	"70"	"47.3684210526316"	"58.974358974359"	"63.6363636363636"
"Frankel"	"lit-agg"	"4.39651836156171"	54.1666666666667	60	"68.4210526315789"	"45"	"56.4102564102564"	"60.4651162790698"
"Frankel"	"lit-agg"	"4.95977205893962"	50	60	"66.6666666666667"	"42.8571428571429"	"53.8461538461538"	"57.1428571428571"
"Frankel"	"lit-agg"	"5.06834381844028"	50	66.6666666666667	"70.5882352941177"	"45.4545454545455"	"56.4102564102564"	"58.5365853658537"
"Frankel"	"lit-agg"	"5.29354103470191"	50	73.3333333333333	"75"	"47.8260869565217"	"58.974358974359"	"60"
"Frankel"	"lit-agg"	"5.56834908943116"	45.8333333333333	73.3333333333333	"73.3333333333333"	"45.8333333333333"	"56.4102564102564"	"56.4102564102564"
