"Study"	"Rtype"	"Type"	"thresh"	"SN"	"SP"	"PPV"	"NPV"	"ACC"	"F1"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"-0.48"	100	0	"76.4705882352941"	"NaN"	"76.4705882352941"	"86.6666666666667"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"0.52"	100	0	"76.4705882352941"	"NaN"	"76.4705882352941"	"86.6666666666667"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"0.91"	92.3076923076923	0	"75"	"0"	"70.5882352941177"	"82.7586206896552"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"0.96"	92.3076923076923	25	"80"	"50"	"76.4705882352941"	"85.7142857142857"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"1.63"	92.3076923076923	50	"85.7142857142857"	"66.6666666666667"	"82.3529411764706"	"88.8888888888889"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"5.35"	84.6153846153846	50	"84.6153846153846"	"50"	"76.4705882352941"	"84.6153846153846"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"6.03"	84.6153846153846	75	"91.6666666666667"	"60"	"82.3529411764706"	"88"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"7.3"	76.9230769230769	75	"90.9090909090909"	"50"	"76.4705882352941"	"83.3333333333333"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"8.05"	69.2307692307692	75	"90"	"42.8571428571429"	"70.5882352941177"	"78.2608695652174"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"9.49"	61.5384615384615	75	"88.8888888888889"	"37.5"	"64.7058823529412"	"72.7272727272727"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"9.73"	53.8461538461538	75	"87.5"	"33.3333333333333"	"58.8235294117647"	"66.6666666666667"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"10.97"	46.1538461538462	75	"85.7142857142857"	"30"	"52.9411764705882"	"60"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"11.56"	46.1538461538462	100	"100"	"36.3636363636364"	"58.8235294117647"	"63.1578947368421"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"12.15"	38.4615384615385	100	"100"	"33.3333333333333"	"52.9411764705882"	"55.5555555555556"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"12.27"	30.7692307692308	100	"100"	"30.7692307692308"	"47.0588235294118"	"47.0588235294118"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"12.85"	23.0769230769231	100	"100"	"28.5714285714286"	"41.1764705882353"	"37.5"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"15.36"	15.3846153846154	100	"100"	"26.6666666666667"	"35.2941176470588"	"26.6666666666667"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"41.26"	7.69230769230769	100	"100"	"25"	"29.4117647058824"	"14.2857142857143"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"42.26"	0	100	"NaN"	"23.5294117647059"	"23.5294117647059"	"NaN"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"-0.99"	100	0	"30.7692307692308"	"NaN"	"30.7692307692308"	"47.0588235294118"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.01"	100	0	"30.7692307692308"	"NaN"	"30.7692307692308"	"47.0588235294118"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.02"	93.75	0	"29.4117647058824"	"0"	"28.8461538461538"	"44.7761194029851"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.06"	93.75	2.77777777777778	"30"	"50"	"30.7692307692308"	"45.4545454545455"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.15"	93.75	5.55555555555556	"30.6122448979592"	"66.6666666666667"	"32.6923076923077"	"46.1538461538462"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.35"	87.5	5.55555555555556	"29.1666666666667"	"50"	"30.7692307692308"	"43.75"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.56"	87.5	8.33333333333333	"29.7872340425532"	"60"	"32.6923076923077"	"44.4444444444444"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.9"	87.5	11.1111111111111	"30.4347826086957"	"66.6666666666667"	"34.6153846153846"	"45.1612903225806"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.06"	87.5	13.8888888888889	"31.1111111111111"	"71.4285714285714"	"36.5384615384615"	"45.9016393442623"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.31"	87.5	16.6666666666667	"31.8181818181818"	"75"	"38.4615384615385"	"46.6666666666667"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.42"	87.5	19.4444444444444	"32.5581395348837"	"77.7777777777778"	"40.3846153846154"	"47.4576271186441"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.49"	81.25	19.4444444444444	"30.952380952381"	"70"	"38.4615384615385"	"44.8275862068966"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.52"	81.25	22.2222222222222	"31.7073170731707"	"72.7272727272727"	"40.3846153846154"	"45.6140350877193"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.7"	75	22.2222222222222	"30"	"66.6666666666667"	"38.4615384615385"	"42.8571428571429"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"2.44"	75	25	"30.7692307692308"	"69.2307692307692"	"40.3846153846154"	"43.6363636363636"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"2.99"	75	27.7777777777778	"31.5789473684211"	"71.4285714285714"	"42.3076923076923"	"44.4444444444444"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"3.1"	75	30.5555555555556	"32.4324324324324"	"73.3333333333333"	"44.2307692307692"	"45.2830188679245"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"3.38"	68.75	33.3333333333333	"31.4285714285714"	"70.5882352941177"	"44.2307692307692"	"43.1372549019608"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"4.05"	62.5	33.3333333333333	"29.4117647058824"	"66.6666666666667"	"42.3076923076923"	"40"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"4.37"	56.25	33.3333333333333	"27.2727272727273"	"63.1578947368421"	"40.3846153846154"	"36.734693877551"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"4.57"	50	33.3333333333333	"25"	"60"	"38.4615384615385"	"33.3333333333333"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.04"	43.75	33.3333333333333	"22.5806451612903"	"57.1428571428571"	"36.5384615384615"	"29.7872340425532"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.12"	37.5	33.3333333333333	"20"	"54.5454545454545"	"34.6153846153846"	"26.0869565217391"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.22"	31.25	33.3333333333333	"17.2413793103448"	"52.1739130434783"	"32.6923076923077"	"22.2222222222222"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.26"	31.25	33.3333333333333	"17.2413793103448"	"52.1739130434783"	"32.6923076923077"	"22.2222222222222"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.28"	31.25	36.1111111111111	"17.8571428571429"	"54.1666666666667"	"34.6153846153846"	"22.7272727272727"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.49"	31.25	38.8888888888889	"18.5185185185185"	"56"	"36.5384615384615"	"23.2558139534884"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"6.04"	31.25	41.6666666666667	"19.2307692307692"	"57.6923076923077"	"38.4615384615385"	"23.8095238095238"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"6.63"	31.25	44.4444444444444	"20"	"59.2592592592593"	"40.3846153846154"	"24.390243902439"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"6.96"	31.25	47.2222222222222	"20.8333333333333"	"60.7142857142857"	"42.3076923076923"	"25"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"7.12"	31.25	50	"21.7391304347826"	"62.0689655172414"	"44.2307692307692"	"25.6410256410256"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"7.34"	31.25	52.7777777777778	"22.7272727272727"	"63.3333333333333"	"46.1538461538462"	"26.3157894736842"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"7.75"	25	52.7777777777778	"19.047619047619"	"61.2903225806452"	"44.2307692307692"	"21.6216216216216"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"7.91"	25	55.5555555555556	"20"	"62.5"	"46.1538461538462"	"22.2222222222222"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.12"	25	58.3333333333333	"21.0526315789474"	"63.6363636363636"	"48.0769230769231"	"22.8571428571429"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.19"	25	61.1111111111111	"22.2222222222222"	"64.7058823529412"	"50"	"23.5294117647059"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.24"	25	63.8888888888889	"23.5294117647059"	"65.7142857142857"	"51.9230769230769"	"24.2424242424242"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.71"	25	66.6666666666667	"25"	"66.6666666666667"	"53.8461538461538"	"25"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.88"	18.75	66.6666666666667	"20"	"64.8648648648649"	"51.9230769230769"	"19.3548387096774"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.95"	12.5	66.6666666666667	"14.2857142857143"	"63.1578947368421"	"50"	"13.3333333333333"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"9.01"	12.5	69.4444444444444	"15.3846153846154"	"64.1025641025641"	"51.9230769230769"	"13.7931034482759"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"10.39"	12.5	72.2222222222222	"16.6666666666667"	"65"	"53.8461538461538"	"14.2857142857143"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"11.22"	12.5	75	"18.1818181818182"	"65.8536585365854"	"55.7692307692308"	"14.8148148148148"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"13.11"	12.5	77.7777777777778	"20"	"66.6666666666667"	"57.6923076923077"	"15.3846153846154"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"14.13"	12.5	80.5555555555556	"22.2222222222222"	"67.4418604651163"	"59.6153846153846"	"16"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"16.56"	12.5	83.3333333333333	"25"	"68.1818181818182"	"61.5384615384615"	"16.6666666666667"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"16.74"	12.5	86.1111111111111	"28.5714285714286"	"68.8888888888889"	"63.4615384615385"	"17.3913043478261"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"20.69"	6.25	86.1111111111111	"16.6666666666667"	"67.3913043478261"	"61.5384615384615"	"9.09090909090909"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"21.08"	6.25	88.8888888888889	"20"	"68.0851063829787"	"63.4615384615385"	"9.52380952380952"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"23.22"	6.25	91.6666666666667	"25"	"68.75"	"65.3846153846154"	"10"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"23.46"	6.25	94.4444444444444	"33.3333333333333"	"69.3877551020408"	"67.3076923076923"	"10.5263157894737"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"28.97"	0	94.4444444444444	"0"	"68"	"65.3846153846154"	"0"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"29.47"	0	97.2222222222222	"0"	"68.6274509803922"	"67.3076923076923"	"0"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"33.95"	0	97.2222222222222	"0"	"68.6274509803922"	"67.3076923076923"	"0"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"34.95"	0	100	"NaN"	"69.2307692307692"	"69.2307692307692"	"NaN"
"Zheng HCC"	"Response2"	"re-analysis-r"	"-0.994089707"	100	0	"37.5"	"NaN"	"37.5"	"54.5454545454546"
"Zheng HCC"	"Response2"	"re-analysis-r"	"0.005910293"	100	0	"37.5"	"NaN"	"37.5"	"54.5454545454546"
"Zheng HCC"	"Response2"	"re-analysis-r"	"0.59824012"	100	20	"42.8571428571429"	"100"	"50"	"60"
"Zheng HCC"	"Response2"	"re-analysis-r"	"0.964469509"	100	40	"50"	"100"	"62.5"	"66.6666666666667"
"Zheng HCC"	"Response2"	"re-analysis-r"	"4.064749598"	100	60	"60"	"100"	"75"	"75"
"Zheng HCC"	"Response2"	"re-analysis-r"	"4.392446428"	66.6666666666667	60	"50"	"75"	"62.5"	"57.1428571428571"
"Zheng HCC"	"Response2"	"re-analysis-r"	"4.535161063"	33.3333333333333	60	"33.3333333333333"	"60"	"50"	"33.3333333333333"
"Zheng HCC"	"Response2"	"re-analysis-r"	"6.30847941"	33.3333333333333	80	"50"	"66.6666666666667"	"62.5"	"40"
"Zheng HCC"	"Response2"	"re-analysis-r"	"8.921949042"	0	80	"0"	"57.1428571428571"	"50"	"0"
"Zheng HCC"	"Response2"	"re-analysis-r"	"9.921949042"	0	100	"NaN"	"62.5"	"62.5"	"NaN"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-6.962"	100	0	"76.4705882352941"	"NaN"	"76.4705882352941"	"86.6666666666667"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-5.962"	100	0	"76.4705882352941"	"NaN"	"76.4705882352941"	"86.6666666666667"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-5.083"	92.3076923076923	0	"75"	"0"	"70.5882352941177"	"82.7586206896552"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-3.769"	92.3076923076923	25	"80"	"50"	"76.4705882352941"	"85.7142857142857"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-2.982"	92.3076923076923	50	"85.7142857142857"	"66.6666666666667"	"82.3529411764706"	"88.8888888888889"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-2.542"	84.6153846153846	50	"84.6153846153846"	"50"	"76.4705882352941"	"84.6153846153846"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-2.488"	76.9230769230769	50	"83.3333333333333"	"40"	"70.5882352941177"	"80"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.839"	69.2307692307692	50	"81.8181818181818"	"33.3333333333333"	"64.7058823529412"	"75"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.737"	61.5384615384615	50	"80"	"28.5714285714286"	"58.8235294117647"	"69.5652173913043"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.578"	53.8461538461538	50	"77.7777777777778"	"25"	"52.9411764705882"	"63.6363636363636"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.526"	46.1538461538462	50	"75"	"22.2222222222222"	"47.0588235294118"	"57.1428571428571"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.401"	38.4615384615385	50	"71.4285714285714"	"20"	"41.1764705882353"	"50"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.25"	38.4615384615385	75	"83.3333333333333"	"27.2727272727273"	"47.0588235294118"	"52.6315789473684"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.208"	30.7692307692308	75	"80"	"25"	"41.1764705882353"	"44.4444444444444"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-0.952"	30.7692307692308	100	"100"	"30.7692307692308"	"47.0588235294118"	"47.0588235294118"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-0.78"	23.0769230769231	100	"100"	"28.5714285714286"	"41.1764705882353"	"37.5"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-0.529"	15.3846153846154	100	"100"	"26.6666666666667"	"35.2941176470588"	"26.6666666666667"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-0.49"	7.69230769230769	100	"100"	"25"	"29.4117647058824"	"14.2857142857143"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"0.51"	0	100	"NaN"	"23.5294117647059"	"23.5294117647059"	"NaN"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-33.081"	100	0	"30.7692307692308"	"NaN"	"30.7692307692308"	"47.0588235294118"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-32.081"	100	0	"30.7692307692308"	"NaN"	"30.7692307692308"	"47.0588235294118"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-22.471"	100	2.77777777777778	"31.3725490196078"	"100"	"32.6923076923077"	"47.7611940298507"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-20.377"	100	5.55555555555556	"32"	"100"	"34.6153846153846"	"48.4848484848485"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-15.925"	100	8.33333333333333	"32.6530612244898"	"100"	"36.5384615384615"	"49.2307692307692"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-14.921"	100	11.1111111111111	"33.3333333333333"	"100"	"38.4615384615385"	"50"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-13.026"	100	13.8888888888889	"34.0425531914894"	"100"	"40.3846153846154"	"50.7936507936508"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-13.001"	100	16.6666666666667	"34.7826086956522"	"100"	"42.3076923076923"	"51.6129032258064"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-10.839"	100	19.4444444444444	"35.5555555555556"	"100"	"44.2307692307692"	"52.4590163934426"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-9.911"	100	22.2222222222222	"36.3636363636364"	"100"	"46.1538461538462"	"53.3333333333333"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-9.52"	100	25	"37.2093023255814"	"100"	"48.0769230769231"	"54.2372881355932"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-7.578"	100	27.7777777777778	"38.0952380952381"	"100"	"50"	"55.1724137931034"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-7.053"	100	30.5555555555556	"39.0243902439024"	"100"	"51.9230769230769"	"56.140350877193"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-6.337"	100	30.5555555555556	"39.0243902439024"	"100"	"51.9230769230769"	"56.140350877193"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-6.111"	100	33.3333333333333	"40"	"100"	"53.8461538461538"	"57.1428571428571"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-5.552"	100	36.1111111111111	"41.025641025641"	"100"	"55.7692307692308"	"58.1818181818182"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.93"	100	38.8888888888889	"42.1052631578947"	"100"	"57.6923076923077"	"59.2592592592593"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.929"	93.75	38.8888888888889	"40.5405405405405"	"93.3333333333333"	"55.7692307692308"	"56.6037735849057"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.916"	93.75	41.6666666666667	"41.6666666666667"	"93.75"	"57.6923076923077"	"57.6923076923077"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.542"	93.75	41.6666666666667	"41.6666666666667"	"93.75"	"57.6923076923077"	"57.6923076923077"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.448"	87.5	41.6666666666667	"40"	"88.2352941176471"	"55.7692307692308"	"54.9019607843137"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.431"	81.25	41.6666666666667	"38.2352941176471"	"83.3333333333333"	"53.8461538461538"	"52"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.114"	75	41.6666666666667	"36.3636363636364"	"78.9473684210526"	"51.9230769230769"	"48.9795918367347"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-3.919"	75	44.4444444444444	"37.5"	"80"	"53.8461538461538"	"50"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-3.619"	75	47.2222222222222	"38.7096774193548"	"80.9523809523809"	"55.7692307692308"	"51.063829787234"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-3.354"	75	50	"40"	"81.8181818181818"	"57.6923076923077"	"52.1739130434783"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-3.008"	68.75	50	"37.9310344827586"	"78.2608695652174"	"55.7692307692308"	"48.8888888888889"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.496"	68.75	52.7777777777778	"39.2857142857143"	"79.1666666666667"	"57.6923076923077"	"50"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.492"	68.75	55.5555555555556	"40.7407407407407"	"80"	"59.6153846153846"	"51.1627906976744"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.421"	68.75	58.3333333333333	"42.3076923076923"	"80.7692307692308"	"61.5384615384615"	"52.3809523809524"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.375"	68.75	61.1111111111111	"44"	"81.4814814814815"	"63.4615384615385"	"53.6585365853658"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.27"	62.5	61.1111111111111	"41.6666666666667"	"78.5714285714286"	"61.5384615384615"	"50"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.128"	56.25	61.1111111111111	"39.1304347826087"	"75.8620689655172"	"59.6153846153846"	"46.1538461538462"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.805"	50	61.1111111111111	"36.3636363636364"	"73.3333333333333"	"57.6923076923077"	"42.1052631578947"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.773"	43.75	61.1111111111111	"33.3333333333333"	"70.9677419354839"	"55.7692307692308"	"37.8378378378378"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.729"	43.75	63.8888888888889	"35"	"71.875"	"57.6923076923077"	"38.8888888888889"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.696"	43.75	66.6666666666667	"36.8421052631579"	"72.7272727272727"	"59.6153846153846"	"40"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.561"	37.5	66.6666666666667	"33.3333333333333"	"70.5882352941177"	"57.6923076923077"	"35.2941176470588"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.343"	37.5	69.4444444444444	"35.2941176470588"	"71.4285714285714"	"59.6153846153846"	"36.3636363636364"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.308"	31.25	69.4444444444444	"31.25"	"69.4444444444444"	"57.6923076923077"	"31.25"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.188"	25	69.4444444444444	"26.6666666666667"	"67.5675675675676"	"55.7692307692308"	"25.8064516129032"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-0.963"	25	72.2222222222222	"28.5714285714286"	"68.4210526315789"	"57.6923076923077"	"26.6666666666667"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-0.951"	25	75	"30.7692307692308"	"69.2307692307692"	"59.6153846153846"	"27.5862068965517"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-0.706"	25	77.7777777777778	"33.3333333333333"	"70"	"61.5384615384615"	"28.5714285714286"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-0.677"	25	80.5555555555556	"36.3636363636364"	"70.7317073170732"	"63.4615384615385"	"29.6296296296296"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-0.664"	25	83.3333333333333	"40"	"71.4285714285714"	"65.3846153846154"	"30.7692307692308"
