"Study"	"Rtype"	"Type"	"thresh"	"SN"	"SP"	"PPV"	"NPV"	"ACC"	"F1"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"-0.48"	100	0	"80"	"NaN"	"80"	"88.8888888888889"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"0.52"	100	0	"80"	"NaN"	"80"	"88.8888888888889"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"0.91"	93.75	0	"78.9473684210526"	"0"	"75"	"85.7142857142857"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"0.96"	93.75	25	"83.3333333333333"	"50"	"80"	"88.2352941176471"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"1.63"	93.75	50	"88.2352941176471"	"66.6666666666667"	"85"	"90.9090909090909"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"4.35"	87.5	50	"87.5"	"50"	"80"	"87.5"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"5.35"	81.25	50	"86.6666666666667"	"40"	"75"	"83.8709677419355"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"6.03"	81.25	75	"92.8571428571429"	"50"	"80"	"86.6666666666667"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"7.3"	75	75	"92.3076923076923"	"42.8571428571429"	"75"	"82.7586206896552"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"8.05"	68.75	75	"91.6666666666667"	"37.5"	"70"	"78.5714285714286"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"9.49"	62.5	75	"90.9090909090909"	"33.3333333333333"	"65"	"74.0740740740741"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"9.73"	56.25	75	"90"	"30"	"60"	"69.2307692307692"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"10.97"	50	75	"88.8888888888889"	"27.2727272727273"	"55"	"64"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"11.56"	50	100	"100"	"33.3333333333333"	"60"	"66.6666666666667"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"12.15"	43.75	100	"100"	"30.7692307692308"	"55"	"60.8695652173913"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"12.27"	37.5	100	"100"	"28.5714285714286"	"50"	"54.5454545454546"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"12.85"	31.25	100	"100"	"26.6666666666667"	"45"	"47.6190476190476"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"15.36"	25	100	"100"	"25"	"40"	"40"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"16.32"	18.75	100	"100"	"23.5294117647059"	"35"	"31.5789473684211"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"17.19"	12.5	100	"100"	"22.2222222222222"	"30"	"22.2222222222222"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"41.26"	6.25	100	"100"	"21.0526315789474"	"25"	"11.7647058823529"
"Peters Melanoma"	"Response2"	"re-analysis-r"	"42.26"	0	100	"NaN"	"20"	"20"	"NaN"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"-1"	100	0	"35.2941176470588"	"NaN"	"35.2941176470588"	"52.1739130434783"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0"	100	0	"35.2941176470588"	"NaN"	"35.2941176470588"	"52.1739130434783"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.01"	95.8333333333333	2.27272727272727	"34.8484848484849"	"50"	"35.2941176470588"	"51.1111111111111"
