s__Faecalibacterium_prausnitzii	Faecalibacterium_prausnitzii
s__Ruminococcus_bromii	Ruminococcus_bromii
s__Akkermansia_muciniphila	Akkermansia_muciniphila
s__Bacteroides_vulgatus	Bacteroides_vulgatus
s__Parabacteroides_distasonis	Parabacteroides_distasonis
s__Methanobrevibacter_smithii	Methanobrevibacter_smithii
s__Bacteroides_fragilis	Bacteroides_fragilis
s__Clostridium_scindens	Clostridium_scindens
s__Roseburia_hominis	Roseburia_hominis
s__Bacteroides_ovatus	Bacteroides_ovatus
s__Roseburia_inulinivorans	Roseburia_inulinivorans
s__Roseburia_intestinalis	Roseburia_intestinalis
