species	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
s__Abiotrophia_defectiva	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149055567915719	0	0	0	0	0	0	0	0	0.000960124624176218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000740021904648378	0	0	0	0	0	0.00444217844430909	0	0	0.000940121463693109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Acidaminococcus_fermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184855395054796	0	0	0	0	0.206879726176947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Acidaminococcus_intestini	0	0.14472752339683	0	0	0	0	0	0	0	0	3.21985548106387	0	0	0	0	0	0	0	0	0	0.795378200724124	0	0	0	0	0	0	0	0	0	0.0069920185957686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2976595266927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.851730831497991	0	0	0	0	0.01155744068031	0	0	0	0	0	0	0	0
s__Acidaminococcus_sp_D21	0	0	0	2.50153949597067	0	0	0	0	0	0	0	0	0	1.49141951191053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09650246518398	0	0	0	0	0	0	0	0	0	0	0	0	0	6.58942055052342	1.43493921165464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54457597800777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Acidaminococcus_sp_HPA0509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.858430741874559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.535019416341727	0	0	0	0.310888808934163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Acidaminococcus_unclassified	1.08085558442219	2.28958921928083	0	0	0	0	0	0	0	0	2.667820323762	0	0	0.626731030626252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135152276900705	0.00494001778406402	0.280615839627732	0.00502473122461443	0.00713087281883303	1.25159014773986	0.012874640414527	0	0	0	0	0	0	0.490008624151785	0	0.00369050338466166	0.805417099152577	0.147873962556554	0	0	0	0	0	0	0	0	0.00756059501882798	0.0100103093185579	0.00903117224615755	0.00910937505770297	0	0	1.48569334925686	0.00669008362604533	0	1.29749096478187	0	0	0	0	5.36028332678413	0	0	0	0	0	0	1.07498801103495	0	0	0	0	0	0	0	0.00110008756697033	0	0	0	1.31221928888119	0	0	0	1.67019936091078	0.214458068104245	0	0	0	0	0	0	0	5.13739091734292
s__Actinobaculum_schaalii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00699037957761107	0.000630035470997017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000884079397492057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinobaculum_sp_oral_taxon_183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0849115819397765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinobaculum_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00960358021470404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_graevenitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00281541406353287	0.00103999948000026	0	0.000950760513334617	0.0203739255781327	0	0.000270014661796136	0	0.00300437593886748	0	0	0.0122800442081592	0	0	0	0.0259828389154066	0.0326514624641577	0	0.00123028321119522	0	0	0	0	0	0	0.00926126323630542	0.000352057529821536	0	0.0211105340965126	0.0440364167761741	0	0	0	0.00280009296308637	0	0.006841548926677	0	0	0	0.00405109799863449	0	0.00496267786097378	0.108184567456937	0.000470005875073439	0	0	0	0	0	0	0.00217527286141607	0	0	0	0	0.00674197877076922	0	0	0	0.0214505193346817	0	0	0.00430055563178763	0	0	0	0	0	0	0	0	0.00741062175116492	0	0	0	0	0.00547841918794001	0	0	0	0.0096902916777795	0	0
