Taxon	SRR5367462	SRR5367463	SRR5367464	SRR5367465	SRR5367466	SRR5367467	SRR5367468	SRR5367469	SRR5367470	SRR5367471	SRR5367472	SRR5367473	SRR5367474	SRR5367475	SRR5367476	SRR5367477	SRR5367478	SRR5367479	SRR5367480	SRR5367481	SRR5367482	SRR5367483	SRR5367484	SRR5367485	SRR5367486	SRR5367487	SRR5367488	SRR5367489	SRR5367490	SRR5367491	SRR5367492	SRR5367493	SRR5367494	SRR5367495	SRR5367496	SRR5367497	SRR5367498	SRR5367499	SRR5367500	SRR5367501	SRR5367502.R1	SRR5367503.R1	SRR5367504.R1	SRR5367505.R1	SRR5367506.R1	SRR5367507.R1	SRR5367508.R1	SRR5367509.R1	SRR5367510.R1	SRR5367511.R1	SRR5367512.R1	SRR5367513.R1	SRR5367514.R1	SRR5367515.R1	SRR5367516.R1	SRR5367517.R1	SRR5367518.R1	SRR5367519.R1	SRR5367520.R1	SRR5367521.R1	SRR5367522.R1	SRR5367523.R1	SRR5367524.R1	SRR5367525.R1	SRR5367526.R1	SRR5367527.R1	SRR5367528.R1	SRR5367529.R1	SRR5367530.R1	SRR5367531.R1	SRR5367532.R1	SRR5367533.R1	SRR5367534.R1	SRR5367535.R1	SRR5367536.R1	SRR5367537.R1	SRR5367538.R1	SRR5367539.R1	SRR5367540.R1	SRR5367541.R1	SRR5367542.R1	SRR5367543.R1	SRR5367544.R1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	42.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	8.0	9.0	2.0	4.0	4.0	55.0	38.0	0.0	0.0	1.0	68.0	39.0	8.0	88.0	46.0	392.0	75.0	452.0	208.0	9.0	0.0	8.0	0.0	6.0	1.0	1.0	54.0	135.0	296.0	94.0	29.0	8.0	59.0	33.0	15.0	55.0	5.0	0.0	2.0	2.0	1.0	0.0	6.0	4.0	0.0	7.0	24.0	0.0	4.0	44.0	24.0	38.0	0.0	0.0	0.0	28.0	38.0	31.0	19.0	5.0	51.0	5.0	19.0	40.0	0.0	4.0	15.0	31.0	5.0	1.0	34.0	1.0	243.0	151.0	15.0	56.0	10.0	12.0	57.0	18.0	2.0	11.0	7.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae	5.0	4.0	8.0	12.0	12.0	195.0	121.0	16.0	30.0	40.0	82.0	23.0	2.0	24.0	3.0	34.0	30.0	15.0	5.0	4.0	1.0	0.0	1.0	1.0	0.0	14.0	65.0	22.0	28.0	19.0	11.0	6.0	60.0	5.0	65.0	112.0	127.0	2.0	2.0	5.0	10.0	15.0	12.0	5.0	3.0	4.0	7.0	3.0	0.0	9.0	25.0	22.0	2.0	1.0	1.0	14.0	2.0	9.0	4.0	36.0	16.0	16.0	25.0	28.0	12.0	22.0	50.0	93.0	1.0	2.0	11.0	6.0	138.0	62.0	60.0	30.0	12.0	17.0	16.0	5.0	2.0	21.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__unassigned;f__unassigned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	644.0	738.0	277.0	225.0	274.0	146.0	307.0	299.0	584.0	755.0	140.0	10.0	37.0	22.0	11.0	232.0	910.0	667.0	1000.0	297.0	510.0	439.0	483.0	815.0	677.0	529.0	174.0	586.0	533.0	949.0	567.0	1402.0	244.0	445.0	366.0	145.0	85.0	173.0	219.0	241.0	23.0	31.0	27.0	56.0	505.0	386.0	294.0	433.0	456.0	586.0	619.0	760.0	531.0	223.0	1145.0	381.0	427.0	274.0	286.0	423.0	689.0	1040.0	259.0	226.0	481.0	288.0	523.0	83.0	627.0	533.0	667.0	281.0	348.0	517.0	560.0	537.0	191.0	196.0	176.0	1119.0	777.0	38.0	1593.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	26.0	32.0	67.0	95.0	45.0	184.0	191.0	113.0	145.0	295.0	57.0	49.0	16.0	20.0	20.0	32.0	49.0	18.0	50.0	112.0	48.0	65.0	218.0	120.0	172.0	5.0	622.0	88.0	98.0	49.0	103.0	38.0	125.0	103.0	148.0	52.0	23.0	19.0	26.0	9.0	3.0	7.0	8.0	9.0	14.0	173.0	105.0	116.0	5.0	99.0	112.0	84.0	183.0	33.0	230.0	60.0	85.0	77.0	85.0	253.0	314.0	259.0	72.0	29.0	99.0	154.0	0.0	10.0	48.0	30.0	31.0	30.0	218.0	169.0	158.0	123.0	52.0	66.0	99.0	25.0	50.0	5.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	2.0	1.0	227.0	30.0	9.0	4.0	0.0	302.0	12.0	12.0	264.0	1105.0	1320.0	742.0	1349.0	60.0	11.0	2.0	9.0	107.0	136.0	109.0	227.0	4.0	192.0	641.0	41.0	1.0	1.0	0.0	2.0	5.0	0.0	9.0	28.0	8.0	18.0	1407.0	1239.0	1368.0	1338.0	906.0	1242.0	1125.0	22.0	1.0	0.0	112.0	42.0	23.0	0.0	0.0	14.0	0.0	15.0	184.0	117.0	86.0	100.0	83.0	1.0	0.0	358.0	29.0	181.0	22.0	170.0	70.0	100.0	66.0	39.0	92.0	19.0	20.0	62.0	23.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
