kegglevel2	SRR5930525.R1	SRR5930517.R1	SRR5930496.R1	SRR5930514.R1	SRR5930497.R1	SRR5930498.R1	SRR5930501.R1	SRR5930505.R1	SRR5930509.R1	SRR5930512.R1	SRR5930516.R1	SRR5930526.R1	SRR5930533.R1	SRR5930522.R1	SRR5930521.R1	SRR5930520.R1	SRR5930532.R1	SRR5930534.R1	SRR5930494.R1	SRR5930511.R1	SRR5930500.R1	SRR5930503.R1	SRR5930530.R1	SRR5930495.R1	SRR5930502.R1	SRR5930508.R1	SRR5930515.R1	SRR5930519.R1	SRR5930535.R1	SRR5930493.R1	SRR5930506.R1	SRR5930513.R1	SRR5930504.R1	SRR5930510.R1	SRR5930528.R1	SRR5930529.R1	SRR5930536.R1	SRR5930527.R1	SRR5930518.R1	SRR5930523.R1	SRR5930524.R1	SRR5930499.R1	SRR5930507.R1	SRR5930531.R1
Cellular_Processes;Cell_Communication	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Growth_and_Death	0.00489676337142	0.00504816151226	0.00504098463317	0.00505665685277	0.00519617714257	0.0050518323765	0.00520677907691	0.00503455767471	0.00511203536437	0.00469165845568	0.00545425514356	0.00525333921299	0.0044986347692	0.0049123027873	0.0050933775982	0.00517933593787	0.00513407120528	0.00510962374127	0.00486454061472	0.00515576731423	0.00501681068839	0.00507293569386	0.00502448038066	0.005041098952	0.00485012233263	0.00496822650251	0.00497441794811	0.00512580632294	0.00483370316573	0.00454872140917	0.00516612796813	0.00506134511048	0.00501502434981	0.00501917600521	0.00501347965539	0.00510239002665	0.00511758061554	0.00503380701875	0.00503782703626	0.00512067675758	0.00508629377834	0.00498326240153	0.00501199721701	0.00543642302046
Cellular_Processes;Cell_Motility	0.0238945328712	0.0156876485323	0.0162286804999	0.0256032564365	0.0200725503978	0.0175046943478	0.0206116061201	0.0189139302623	0.0156652500755	0.0230402761488	0.0140110967635	0.0192912875298	0.0204858520705	0.0187845015485	0.0155736567266	0.0214259368198	0.0150648611921	0.0199618868073	0.0244321005387	0.0173226338439	0.0183895042296	0.0211410193065	0.0231809518053	0.0137524005555	0.0142455801731	0.0228874229246	0.0215442989621	0.0140625197326	0.0241523479284	0.0226888539178	0.0157937230144	0.0203486701039	0.018438235809	0.0195797318697	0.0180136086736	0.0197301003568	0.0148240247726	0.018652328607	0.017391584266	0.016265048552	0.0197778780934	0.0182030686469	0.0222914171223	0.0196627144159
Cellular_Processes;Transport_and_Catabolism	0.00217585155925	0.00271477094856	0.00284997408198	0.00224574472038	0.00239919023988	0.00198295226693	0.0026484529473	0.00224077209525	0.00276709914914	0.00177233467343	0.00257299338615	0.00225569707452	0.00210593725778	0.00193667316702	0.00340478246582	0.00229511649153	0.00222532996075	0.00226786416491	0.00238182592068	0.00178015860614	0.00281732286611	0.00235339261739	0.00252580012174	0.0026768165142	0.0028174672382	0.00222173195924	0.00234580190768	0.00325761409308	0.00231939507302	0.00180605098278	0.00267560357188	0.00316193771406	0.00235789394703	0.00235915127594	0.00210977446244	0.00233019746849	0.00260576435452	0.00276196562928	0.00322411438224	0.00257037945357	0.00240314569644	0.00274367074985	0.00217852798902	0.00255958890861
Environmental_Information_Processing;Membrane_Transport	0.133008967432	0.128846891977	0.123715172275	0.123059226377	0.132070496786	0.133578552027	0.126716982058	0.132184298404	0.118923155375	0.15137495823	0.124076522984	0.134665534642	0.139771575529	0.145069907914	0.120983357502	0.130894144996	0.138689398146	0.13360642966	0.130858208933	0.143390575701	0.129365950024	0.127557708156	0.126851663981	0.126730855711	0.130698013834	0.130520732294	0.13705037403	0.12036054447	0.128252168145	0.142877084342	0.125358007256	0.126494040975	0.137118540512	0.13545808312	0.136442199241	0.1327366252	0.13300312766	0.122378793066	0.125781008667	0.131442010961	0.135490287374	0.131521699338	0.133491361944	0.120195921554
Environmental_Information_Processing;Signal_Transduction	0.0155193479381	0.0160395395415	0.0156265340985	0.0154214099	0.0150946984215	0.0142856876044	0.0157808568233	0.0145749377199	0.0149257732618	0.0177854933407	0.0124504507228	0.0143927115735	0.017247896304	0.01600729841	0.0144983934084	0.01530594418	0.0143896286819	0.0152372158089	0.0157196053831	0.0140613181484	0.0156210259787	0.0149609010413	0.0160356981522	0.014414417662	0.0140045924187	0.0155292749734	0.0157643373887	0.0152521309283	0.0159763804942	0.017592200106	0.0141239600688	0.0153234232894	0.0147470871341	0.0153713466125	0.0144971999164	0.0149158244549	0.0140446355336	0.0150550842485	0.0148390357103	0.0144606402759	0.0155540675816	0.015515719584	0.0153108633627	0.0140527324517
Environmental_Information_Processing;Signaling_Molecules_and_Interaction	0.00152489576697	0.00191552727528	0.00170672130325	0.00166047434466	0.00145391004908	0.00141241769605	0.00156741245305	0.00146963286196	0.00166003051976	0.00130119923553	0.00201466848655	0.0015163086786	0.00147789959199	0.00169142264111	0.00186116532093	0.0015097253862	0.00159178281258	0.00148205701696	0.00153987061521	0.00136348074982	0.00173386049337	0.00145710196445	0.00151196002554	0.00168865730206	0.0016007344601	0.00149872573234	0.00138087219812	0.00198810363797	0.00156469345761	0.00138938569497	0.00161564556967	0.00165854985865	0.00146929565991	0.00144075402225	0.0014383136529	0.00138742492163	0.00149660694544	0.00166289546672	0.00174902195295	0.00149082822448	0.00139601617441	0.00168995233174	0.00143518665019	0.00162610131868
Genetic_Information_Processing;Folding_Sorting_and_Degradation	0.0232881300208	0.0241951585905	0.0241814470382	0.0237152530933	0.023774340941	0.0232634915417	0.0242673375599	0.0235576753671	0.0243700112624	0.0226532960195	0.0247620310336	0.0237774217987	0.0231648252386	0.0228113693385	0.0246758719165	0.0239349907002	0.0232929712324	0.0235376627008	0.0233826952253	0.0229469919369	0.0236510313738	0.0236252678965	0.0240980459419	0.0238310838029	0.0235286699278	0.0238168262871	0.0231896717817	0.0245714605097	0.0239288915787	0.02290786643	0.0241210483065	0.0239392371641	0.0232203916693	0.0233634557384	0.0229498367097	0.0234469980328	0.0235476406206	0.0240456411476	0.02419246505	0.0236574506335	0.0234862364792	0.0233333708811	0.0233646045152	0.0252111937949
Genetic_Information_Processing;Replication_and_Repair	0.0882632187811	0.0854085753007	0.0855762902887	0.0912051665835	0.0868628678342	0.087441649166	0.088375180735	0.0873665892756	0.089771779195	0.0812857468884	0.093537602531	0.0878840319923	0.0834449319759	0.0842913392022	0.0861592643253	0.0886745433945	0.0870433452134	0.086623863956	0.0879726806167	0.0848822803116	0.0857621400454	0.0897807418067	0.087269393995	0.0881486681705	0.0848979892799	0.0877482679279	0.0840359366282	0.0862948262666	0.0871117483349	0.0829988228077	0.0886842029467	0.0850780716654	0.0851605515241	0.0849015329679	0.0874838749412	0.0861863851984	0.0850224201771	0.0895267260613	0.0847515247712	0.0857670614483	0.085487934874	0.0853198126419	0.0861296086293	0.0926358696864
Genetic_Information_Processing;Transcription	0.0314990396975	0.029730885552	0.0296234147229	0.0306157476871	0.0304885796463	0.031287351004	0.0302986145739	0.0307025453452	0.0301106639311	0.031417832674	0.0284162083918	0.0311772372277	0.0308684631807	0.0310923166733	0.0287726001832	0.0305635914578	0.0307210565076	0.0307498395754	0.0312486768478	0.0313834233475	0.0297680793533	0.030957008272	0.0303573102808	0.0300850096293	0.0308447609819	0.0311542112743	0.0310689972826	0.0276025058108	0.0307943608759	0.0316284553009	0.0300879109208	0.0297322552987	0.0309846397908	0.030849794061	0.031688915074	0.0307683821724	0.0306650721971	0.030087790616	0.0295810869565	0.0306198504721	0.030807654544	0.030002160339	0.030739989431	0.0295304324929
