class	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.85164	1.78282	4.73253	0.56866	0.00274	4.30491	1.38953	1.4687	1.35454	0	1.93842	0	0	0.00033	3.21289	0.00452	0.17539	0.0147	0.02015	0.0073	0.02177	9.13859	0.01155	1.99276	2.51528	0	0	1.0109	0	0.00334	0.01005	0.01413	2.49032	0.00217	0.22003	0.00126	0.0031	0.00408	0.00195	0.00372	0.00396	0.00422	0.002	0
k__Archaea|p__Euryarchaeota|c__Methanococci	0	0	0	0	0	0	0	0	0	0	0.00208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.94678	4.19144	11.44318	2.50179	3.06104	2.22175	3.16369	3.61252	1.03945	0.58255	1.13953	2.99046	1.60995	1.30289	4.67901	4.73242	1.97231	3.16267	11.75507	1.27734	1.40481	10.8077	2.23437	29.73443	3.78317	6.33156	5.82346	6.01182	12.57453	10.48533	0.29327	0.45883	4.44686	1.86713	0.57679	3.56614	1.18653	1.57118	8.06785	3.5936	11.37549	1.72394	4.71843	3.34985
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	6.30316	15.97945	20.12738	35.55896	25.98607	26.67338	22.6819	22.72762	28.81137	30.27244	20.63483	22.80902	28.67116	42.60478	19.8168	24.19505	42.81017	39.87367	12.54923	1.18954	59.08001	17.33061	32.46744	26.51569	8.1732	45.70006	49.09821	20.10663	42.7894	10.61858	38.35817	29.46384	11.34232	22.33908	39.68086	36.92283	31.71862	29.87898	36.27949	12.76753	19.70604	26.58763	30.2508	45.80636
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0	0	0	0	0.00058	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00567	0.00187	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	0.05277	0.4827	1.04705	0.11023	0.34097	1.5501	0.58581	0.51517	0.6294	0.70416	0.12019	0.23882	2.43679	2.39893	0.54992	1.63303	1.26392	0.13945	0.84464	10.39514	0.40446	0.0616	1.3231	11.63294	10.32762	2.37553	2.06885	5.32423	0.77979	11.66626	3.00598	0.53068	0.34497	0.39702	0.28372	0.567	0.11699	0.16346	0.38975	23.12854	0.10545	1.63582	1.79725	0.18085
k__Bacteria|p__Firmicutes|c__Clostridia	63.53069	66.6875	36.2979	36.10484	69.61406	62.14444	58.71417	57.36611	54.29946	59.28358	75.67566	70.76979	60.43011	50.81219	69.39722	63.82957	40.75323	54.12549	73.83873	75.04484	37.07806	58.31199	59.12343	19.11247	29.81586	42.5372	18.21714	58.52073	39.43039	55.75111	52.95058	61.55289	69.23142	69.43807	44.68812	51.55597	61.32483	62.42237	53.34809	48.69677	56.65407	59.80127	54.764	47.77023
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2.3782	6.87419	4.89544	0.33118	0.36214	0.416	1.52781	1.50153	1.82293	1.01384	0.06446	1.82567	4.60282	0.46202	0.57335	0.53857	1.71013	0.21327	0.58314	0.4921	0.32848	1.54897	0.50009	2.63731	6.17902	0.67602	3.41478	0.49154	0.17309	2.68843	0.16099	0.07175	9.10052	2.48279	0.1788	6.85314	0.13418	0.06344	0.19457	1.09571	0.84774	0.2441	0.45636	2.20382
k__Bacteria|p__Firmicutes|c__Negativicutes	0.36836	1.97442	0.02533	0.00638	0.0213	0.71739	0.00467	0.00428	0.07268	6.13951	0.04022	0.47648	1.38268	0.01226	0.04678	1.33742	0.02889	0.60439	0.00929	1.03985	1.54571	0.01278	0.01093	5.63634	1.38162	1.39592	16.51821	7.68711	2.42942	0.0045	0.06034	0.01613	1.30212	2.86152	8.49632	0.00777	2.08738	0.02554	0.09347	0.02927	0.06017	0.0123	1.59564	0.05522
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	0	0	0.0231	0.00035	0	0.08742	0.11502	0	0	0	0	0	0	0	0	0	0.2307	0	0	0	0	0	0	0	0.01989	0.14865	0	0.00947	0	0	0	0	0	0.00738	0.00455	0	0	0	0	0	0	0	0
