family	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.85164	1.78282	4.73253	0.56866	0.00274	4.30491	1.38953	1.4687	1.35454	0	1.93842	0	0	0.00033	3.21289	0.00452	0.17539	0.0147	0.02015	0.0073	0.02177	9.13859	0.01155	1.99276	2.51528	0	0	1.0109	0	0.00334	0.01005	0.01413	2.49032	0.00217	0.22003	0.00126	0.0031	0.00408	0.00195	0.00372	0.00396	0.00422	0.002	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae	0	0	0	0	0	0	0	0	0	0	0.00208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.0024	0.00421	0.00975	0.00362	0.102	0.00266	0.15492	0.31345	0.02363	0.00509	0	0.01228	0.0033	0.00501	0.00165	0.03843	0.05359	0	0.00692	0.00433	0.00885	0.02913	0.04228	0.00044	0	0.12349	0.00161	0.01964	0.0375	0.11608	0.00439	0.01159	0.0009	0.01336	0	0.01416	0.00364	0.00045	0.00078	0.11447	0.00509	0.0068	0.13365	0.00126
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0	0	0.00299	0	0.00045	0.00713	0.01053	0.00583	0	0	0	0	0	0.00262	0	0	0.05158	0	0.00169	0	0	0.0305	0	0	0	0.02007	0	0	0	0.00027	0	0.00449	0	0.00287	0	0	0	0	0	0.01541	0	0.0042	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01337	0.00763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00507	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07662	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0	0	0	0	0.0115	0.04333	0.01257	0.00993	0.07948	0.00062	0.0082	0	0.0201	0.00954	0	0.00311	0	0.00314	0	0.05131	0	0	0	0	0.01612	0.02777	0.01151	0.00983	0.00647	0.03256	0	0.00155	0	0.01025	0	0.0042	0	0	0.00348	0.00646	0	0.00187	0.00791	0.00352
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0	0	0	0	0	0	0.01189	0.00709	0	0	0	0	0	0	0	0.06244	0.08823	0.00143	0	0	0	0	0	0	0	0	0	0	0	0.01352	0	0	0	0	0	0	0	0	0	0	0	0.00044	0.05325	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.34833	0.9793	8.08938	0.43085	1.70688	0.341	0.02568	0.01859	0.08459	0.01497	0.12897	0.0927	0.00108	0.0014	0.81165	1.6415	0.08314	1.89742	0.5062	0.01118	0.0148	7.45276	0.00835	24.07954	0.02425	1.19901	0.12607	2.437	8.85539	0.21604	0.013	0.01056	1.09294	0.09439	0.01099	0.01151	0.04058	0.23987	5.51884	0.1185	8.49244	0.15209	1.93929	0.23459
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.59605	3.20793	3.34105	2.06733	1.2402	1.82763	2.9481	3.25763	0.85176	0.56188	1.00236	2.88548	1.58547	1.28432	3.8657	2.97358	1.68814	1.26068	11.24026	1.21052	1.38115	3.2953	2.18375	5.65445	3.7428	4.96122	5.68427	3.54535	3.67517	10.10686	0.27588	0.43064	3.35301	1.74626	0.5658	3.45965	1.14231	1.33086	2.54476	3.33877	2.87796	1.55854	2.57928	3.11047
