genus	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.85164	1.78282	4.73253	0.56866	0.00274	4.30491	1.38953	1.4687	1.35454	0	1.65373	0	0	0.00033	3.21289	0.00452	0.17539	0.0147	0.02015	0.0073	0.02177	9.13859	0.01155	1.99276	2.43687	0	0	1.0109	0	0.00334	0.01005	0.01413	2.49032	0.00217	0.22003	0.00126	0.0031	0.00408	0.00195	0.00372	0.00396	0.00422	0.002	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0.28468	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0.00208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	0	0	0	0	0	0	0.00699	0.00063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0849	0	0	0	0.0096	0	0	0	0	0	0	0	0	0	0.00079	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.0024	0.00421	0.00975	0.00362	0.102	0.00266	0.04419	0.05712	0.02363	0.00509	0	0.01228	0.0033	0.00501	0.00165	0.03843	0.05359	0	0.00692	0.00433	0.00885	0.02913	0.04228	0.00044	0	0.03859	0.00161	0.01964	0.0375	0.10564	0.00439	0.01159	0.0009	0.01336	0	0.01416	0.00364	0.00045	0.00078	0.11368	0.00509	0.0068	0.13365	0.00126
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus	0	0	0	0	0	0	0.08313	0.17696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum	0	0	0	0	0	0	0.0206	0.07875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00084	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0	0	0.00299	0	0.00045	0.00713	0.01053	0.00583	0	0	0	0	0	0.00262	0	0	0.05158	0	0.00169	0	0	0.0305	0	0	0	0.02007	0	0	0	0.00027	0	0.00449	0	0.00287	0	0	0	0	0	0.01541	0	0.0042	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01337	0.00763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00507	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Clavibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07662	0	0	0	0	0	0	0	0
