phylum	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Archaea|p__Euryarchaeota	0.85164	1.78282	4.73253	0.56866	0.00274	4.30491	1.38953	1.4687	1.35454	0	1.9405	0	0	0.00033	3.21289	0.00452	0.17539	0.0147	0.02015	0.0073	0.02177	9.13859	0.01155	1.99276	2.51528	0	0	1.0109	0	0.00334	0.01005	0.01413	2.49032	0.00217	0.22003	0.00126	0.0031	0.00408	0.00195	0.00372	0.00396	0.00422	0.002	0
k__Bacteria|p__Actinobacteria	2.94678	4.19144	11.44318	2.50179	3.06104	2.22175	3.16369	3.61252	1.03945	0.58255	1.13953	2.99046	1.60995	1.30289	4.67901	4.73242	1.97231	3.16267	11.75507	1.27734	1.40481	10.8077	2.23437	29.73443	3.78317	6.33156	5.82346	6.01182	12.57453	10.48533	0.29327	0.45883	4.44686	1.86713	0.57679	3.56614	1.18653	1.57118	8.06785	3.5936	11.37549	1.72394	4.71843	3.34985
k__Bacteria|p__Bacteroidetes	6.30316	15.97945	20.12738	35.55896	25.98607	26.67338	22.6819	22.72762	28.81137	30.27244	20.63483	22.80902	28.67116	42.60478	19.8168	24.19505	42.81017	39.87367	12.54923	1.18954	59.08001	17.33061	32.46744	26.51569	8.1732	45.70006	49.09821	20.10663	42.7894	10.61858	38.35817	29.46384	11.34232	22.33908	39.68086	36.92283	31.71862	29.87898	36.27949	12.76753	19.70604	26.58763	30.2508	45.80636
k__Bacteria|p__Candidatus_Saccharibacteria	0	0	0	0	0.00058	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00567	0.00187	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes	66.33001	76.01881	42.26572	36.55264	70.33848	64.82793	60.83245	59.3871	56.82447	67.1411	75.90053	73.31075	68.8524	53.68541	70.56728	67.33859	43.75617	55.0826	75.27579	86.97193	39.35671	59.93534	60.95755	39.01906	47.70412	46.98467	40.21899	72.02361	42.81269	70.11031	56.17788	62.17145	79.97903	75.1794	53.64696	58.98388	63.66337	62.6748	54.02588	72.95028	57.66743	61.69348	58.61324	50.21011
k__Bacteria|p__Fusobacteria	0	0	0	0.0231	0.00035	0	0.08742	0.11502	0	0	0	0	0	0	0	0	0	0.2307	0	0	0	0	0	0	0	0.01989	0.14865	0	0.00947	0	0	0	0	0	0.00738	0.00455	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	8.79708	1.38688	0.91886	2.58104	0.5782	1.60254	1.1709	1.36049	2.08507	1.86612	0.28032	0.88657	0.78606	1.94078	0.55367	3.71523	1.5899	1.5073	0.31406	10.51602	0.06841	1.52144	4.26816	2.73097	1.58823	0.9607	3.39837	0.78492	1.70273	6.58142	5.12548	7.79555	1.28112	0.60664	0.68819	0.45111	0.38953	2.96912	1.60611	0.03626	11.20066	1.14155	6.40866	0.62662
k__Bacteria|p__Synergistetes	0	0	0.38234	0.29304	0	0.20873	0.00379	0.04552	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30422	0	0	0	0	0	0	0	1.64085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia	0.01636	0.6406	20.1241	21.84071	0.02518	0.1328	10.66491	11.27992	9.87719	0.00638	0.10339	0.00285	0	0.01657	1.16093	0.01207	8.67109	0.12836	0.06546	0.03563	0.06119	0.54036	0.05655	0.00535	36.236	0	1.30853	0.02794	0.1101	0.5545	0.03327	0.06794	0.45898	0.00222	5.16203	0.05978	3.03102	2.8987	0.00787	0.00755	0.04641	8.83666	0.00185	0.00665
k__Eukaryota|p__Ascomycota	0	0	0.00043	0	0.00051	0	0	0	0	0	0	0.00035	0	0.00158	0.00031	0	0	0	0	0	0	0	0	0	0	0.00312	0	0	0	0	0	0	0	0	0	0	0.00093	0	0	0.00036	0	0	0.00312	0.0004
k__Viruses|p__Viruses_noname	14.75496	0	0.00547	0.08006	0.00685	0.02796	0.00541	0.00311	0.0079	0.13141	0.0009	0	0.08043	0.44725	0.00911	0.00211	1.02496	0	0.02025	0.00224	0.0071	0.42175	0.00437	0.00174	0	0	0.00379	0.03418	0.00107	0	0	0.02826	0.00138	0.00335	0.01776	0.01044	0.00689	0.00313	0.01084	10.64069	0	0.01252	0.0019	0
