kegglevel2	Wargo.122637.R1	Wargo.120662.R1	Wargo.122410.R1	Wargo.124418.R1	Wargo.133270.R1	Wargo.122639.R1	Wargo.132266.R1	Wargo.109865.R1	Wargo.115690.R1	Wargo.117349.R1	Wargo.121892.R1	Wargo.126747.R1	Wargo.126802.R1	Wargo.130510.R1	Wargo.130511.R1	Wargo.130801.R1	Wargo.131541.R1	Wargo.132265.R1	Wargo.123009.R1	Wargo.127262.R1	Wargo.127261.R1	Wargo.131300.R1	Wargo.131512.R1	Wargo.121296.R1	Wargo.121585.R1	Wargo.122412.R1	Wargo.123986.R1	Wargo.124419.R1	Wargo.132538.R1	Wargo.132268.R1	Wargo.131302.R1	Wargo.116774.R1	Wargo.121891.R1	Wargo.122114.R1	Wargo.123197.R1	Wargo.124421.R1	Wargo.131051.R1	Wargo.121409.R1	Wargo.118370.R1	Wargo.123704.R1	Wargo.122724.R1	Wargo.123305.R1	Wargo.118369.R1
Cellular_Processes;Cell_Communication	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Growth_and_Death	0.00495100485595	0.00500876173594	0.00497431139446	0.00507140363207	0.00479076532139	0.00441129832749	0.00502001426882	0.00613174133833	0.00511985618268	0.00547083622936	0.00564610547421	0.00491896207975	0.00553371371891	0.00720652817754	0.0053046318834	0.00519175572453	0.00508971776398	0.0048456835362	0.00449188405806	0.00455174411684	0.00566024162378	0.00485344409236	0.00511373720087	0.00460939864942	0.00500923735131	0.00497809234114	0.00499534678857	0.00487093673614	0.00645600636546	0.00486243921489	0.0046358326333	0.00504449170566	0.00510913669857	0.00476451253827	0.00477514742197	0.00502249773441	0.00485103255403	0.00509754317758	0.00482039665821	0.00509898850717	0.00490475890696	0.00528118385595	0.00594698272717
Cellular_Processes;Cell_Motility	0.0136740152781	0.0237592443468	0.0227037369583	0.0173768713994	0.0182091346297	0.0269054421216	0.0268595985153	0.0107162892391	0.015410268193	0.0259046173506	0.0151194507834	0.021922181698	0.0105994158004	0.0115278614817	0.00963665546122	0.0112199166377	0.0162725851993	0.0123459861954	0.0231549250994	0.0208586414653	0.0226619784972	0.0103786297594	0.0154128675806	0.0151036724099	0.014609060167	0.0121080142142	0.0146645070082	0.005532122719	0.00922192173339	0.0170136372772	0.0393792312145	0.0140006805615	0.0121453401552	0.0106020074272	0.0165659371333	0.00919525683124	0.0122848452615	0.0158068277745	0.0154647600194	0.0269447210777	0.0165342960161	0.00882562884946	0.0115807442949
Cellular_Processes;Transport_and_Catabolism	0.00527503633566	0.00432867005306	0.00362776605716	0.00416572590413	0.00383182428265	0.00200702035791	0.00221351904552	0.00487854241306	0.00374066424615	0.00333703777415	0.00345384550346	0.0034337125763	0.00444937033807	0.00455127391404	0.005304188074	0.00306328411561	0.00424494651298	0.00582381115571	0.00426738086996	0.00428130448177	0.00409360099063	0.00559133470776	0.00446983324987	0.00440682088735	0.00457347925827	0.00533090338699	0.00292790008738	0.00744800210236	0.00449094739069	0.00484672231436	0.00183241137924	0.00402364951085	0.00532850406375	0.00606747974231	0.00562405015444	0.00652852387291	0.00535285651061	0.00471933282397	0.00353645660371	0.00182868191857	0.00651017075311	0.00612386574821	0.00445483882016
Environmental_Information_Processing;Membrane_Transport	0.102653474549	0.108741128553	0.116696721962	0.106808483723	0.119834797573	0.141394952046	0.153573775002	0.0723029662658	0.105920445995	0.113073747656	0.102522046509	0.120065872251	0.0879261147001	0.0898513171291	0.0961619584776	0.129577465431	0.104887657613	0.0877975129464	0.109860483404	0.104289487688	0.0999357531325	0.0967060292143	0.110641329335	0.109651028291	0.106470827616	0.0929371042795	0.117230522225	0.0692049328554	0.0672406041665	0.10351668423	0.158687390054	0.114739770311	0.100644676124	0.0996391508219	0.100716735792	0.0841801717105	0.0890574171427	0.109349901604	0.110295875385	0.14725671036	0.0987324758558	0.0804481474169	0.083029667653
Environmental_Information_Processing;Signal_Transduction	0.0144524075463	0.0172641609429	0.0160514825117	0.0147506997217	0.0200658889916	0.0200877257162	0.0175312472166	0.0108646744522	0.0148879204561	0.0156242027821	0.0136462820712	0.0177723497786	0.0135120315081	0.0144068557094	0.0147306997831	0.0149879020575	0.0148071025023	0.0145475051578	0.0195392102403	0.0181293016531	0.0154546836999	0.0138386887945	0.015103247099	0.0152831694454	0.0157342883998	0.0153162903349	0.0145676065443	0.0138100272274	0.00919662547977	0.0157004440117	0.0211589569309	0.0161934495959	0.0140877071654	0.0153347761694	0.016302753175	0.0137343527184	0.0139106493618	0.0169664439873	0.0135744056331	0.016917371381	0.0155256233712	0.0140833020765	0.0117872419214
Environmental_Information_Processing;Signaling_Molecules_and_Interaction	0.00198398552685	0.0018218911185	0.00166156686319	0.00202441002195	0.00217540645752	0.00127055557346	0.00132017450643	0.00239788485459	0.0020883809947	0.00153386826405	0.00177617415128	0.00170455020558	0.00215122364087	0.00143510498985	0.00230980603532	0.00178091018901	0.0019569437546	0.00247417360448	0.00198321262242	0.00197534710796	0.00167722074604	0.00247788117273	0.00193154521117	0.00227061086694	0.00216762641486	0.00244405084293	0.00208378622223	0.00307169488007	0.00240141934979	0.00218335484083	0.00113364267524	0.00202450021268	0.00223536683885	0.00266227439043	0.00226200955326	0.00252932841268	0.00235916106723	0.00205316916626	0.00182022674977	0.00119479388371	0.00232523732463	0.00246273837437	0.00227668597122
Genetic_Information_Processing;Folding_Sorting_and_Degradation	0.0244179787301	0.0248807401521	0.0238366874879	0.025305712741	0.025369792832	0.0228897963246	0.0215406268933	0.0292901811637	0.0255958470729	0.0247478384098	0.0266126241021	0.0247180289947	0.0273630804014	0.0303483712196	0.0266977984169	0.0245494900437	0.0255137944799	0.0260056910384	0.0255443671392	0.0260495070822	0.0261643943433	0.0265650292458	0.0245050113358	0.0250606978724	0.0254117193718	0.0264695692527	0.0247562214502	0.0274165387694	0.0303816629757	0.0253942584498	0.0211684080446	0.0251584857507	0.025506859103	0.0259691580641	0.0262647945922	0.0262433642418	0.0257393279212	0.0252512152129	0.0241078858176	0.0221395739511	0.025110129595	0.0269660382435	0.0284336311168
Genetic_Information_Processing;Replication_and_Repair	0.0874894425716	0.0843895617597	0.0884044784827	0.0883540026941	0.0795227405847	0.0799652820924	0.0831459485105	0.102993217433	0.0934717642366	0.0907153242546	0.0972568324082	0.0848952460499	0.0939557810497	0.100633895451	0.0878806969317	0.0858224702335	0.0901772994137	0.0865300034061	0.0807600161036	0.0847346890907	0.0905911103561	0.0874664395163	0.0842590980179	0.0839353704146	0.0844353331389	0.0864244030819	0.0911932823256	0.0859764972983	0.109176043528	0.0864566358696	0.0773581019611	0.0852854104636	0.0858212180837	0.0819971682852	0.0841357754727	0.0839817486988	0.0880117645555	0.0859494948994	0.0902137937267	0.0845049155264	0.0804405853899	0.0871001315507	0.100962695906
Genetic_Information_Processing;Transcription	0.0267710734571	0.0280188500823	0.0298071289952	0.0282643905337	0.0283005802596	0.0307984329592	0.0315436164668	0.0248398865509	0.0282798983987	0.028170025386	0.0277767480915	0.0288157967187	0.0255722955738	0.0241181002531	0.0256606158432	0.0292403148897	0.0280829361818	0.0262534638535	0.0266688550671	0.0267126968345	0.025284739339	0.0263760596177	0.0280074888829	0.0271455976621	0.02727899682	0.0254927832659	0.0304361231289	0.0237520564564	0.0244393430333	0.0282619456302	0.0314108377025	0.0269946405785	0.0267987741438	0.0255951698976	0.0268391996092	0.0264058541568	0.0265733337689	0.0277001415571	0.0291983933323	0.0314023723338	0.0282449501562	0.0250322890188	0.0255252907472
