Taxon	Wargo.109865.R1	Wargo.115690.R1	Wargo.116774.R1	Wargo.117349.R1	Wargo.118369.R1	Wargo.118370.R1	Wargo.120662.R1	Wargo.121296.R1	Wargo.121409.R1	Wargo.121585.R1	Wargo.121891.R1	Wargo.121892.R1	Wargo.122114.R1	Wargo.122410.R1	Wargo.122412.R1	Wargo.122637.R1	Wargo.122639.R1	Wargo.122724.R1	Wargo.123009.R1	Wargo.123197.R1	Wargo.123305.R1	Wargo.123704.R1	Wargo.123986.R1	Wargo.124418.R1	Wargo.124419.R1	Wargo.124421.R1	Wargo.126747.R1	Wargo.126802.R1	Wargo.127261.R1	Wargo.127262.R1	Wargo.130510.R1	Wargo.130511.R1	Wargo.130801.R1	Wargo.131051.R1	Wargo.131300.R1	Wargo.131302.R1	Wargo.131512.R1	Wargo.131541.R1	Wargo.132265.R1	Wargo.132266.R1	Wargo.132268.R1	Wargo.132538.R1	Wargo.133270.R1
k__Archaea;p__Euryarchaeota	0.0	2.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	70.0	1.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.0	12.0	6.0	8.0	10.0	63.0	1.0	298.0	11.0	25.0	3.0	30.0	4.0	11.0	1.0	122.0	1.0	20.0	3.0	7.0	27.0	10.0	318.0	125.0	1.0	0.0	69.0	6.0	6.0	1.0	17.0	2.0	85.0	2.0	6.0	11.0	0.0	27.0	327.0	14.0	1.0	0.0	14.0
k__Bacteria;p__Bacteroidetes	7075.0	2942.0	4349.0	2981.0	6338.0	4206.0	4372.0	5049.0	4127.0	4604.0	5479.0	3438.0	6453.0	3090.0	5606.0	5424.0	1170.0	6110.0	4935.0	5785.0	6417.0	203.0	2789.0	4049.0	7114.0	6202.0	3023.0	6099.0	4654.0	3815.0	3953.0	6016.0	1770.0	5605.0	5904.0	2.0	4581.0	3970.0	5637.0	955.0	4796.0	7161.0	1542.0
k__Bacteria;p__Firmicutes	723.0	4387.0	2568.0	4005.0	1293.0	3168.0	3050.0	1779.0	2841.0	2392.0	2313.0	4056.0	1244.0	4374.0	1639.0	2133.0	5096.0	1631.0	1660.0	1918.0	1145.0	7558.0	3983.0	3332.0	244.0	1133.0	3779.0	1486.0	2166.0	1852.0	1707.0	1464.0	4409.0	1775.0	1923.0	7638.0	2897.0	3519.0	1454.0	6714.0	2934.0	582.0	2599.0
k__Bacteria;p__Fusobacteria	0.0	2.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	11.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	51.0	0.0	4.0	322.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	0.0	1.0	0.0
k__Bacteria;p__Lentisphaerae	0.0	0.0	0.0	6.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	21.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	169.0	131.0	1058.0	665.0	318.0	142.0	325.0	844.0	999.0	518.0	205.0	208.0	288.0	136.0	405.0	314.0	1679.0	237.0	994.0	289.0	194.0	178.0	322.0	438.0	317.0	172.0	873.0	334.0	1061.0	2054.0	2121.0	449.0	185.0	509.0	99.0	345.0	137.0	245.0	449.0	215.0	247.0	238.0	699.0
k__Bacteria;p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
