class	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0.08063	0	0	0	0	0	0	0	0	0.15264	0.00359	0	0	0	0	0	0	0	0.10772	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.33779	1.26961	1.74771	1.59628	0.36186	0.14641	18.07329	2.03518	0.03568	0.52124	0.18782	0.09648	3.64963	0.41577	0.60825	0.03044	0.03259	0.30956	0.12934	1.51196	0.35995	0.90147	0.00167	0.01237	1.04846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	94.82015	71.24992	44.62443	56.13684	88.93398	76.60161	52.58919	54.6817	80.10431	80.40965	72.21798	88.462	55.57294	77.81837	79.24738	81.99103	57.91224	86.66381	71.89176	64.80945	73.16638	24.78857	76.19611	80.72419	37.93114
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01201	0
k__Bacteria|p__Firmicutes|c__Bacilli	0	2.91637	0.27554	3.75326	0.04363	0.02199	0.08268	0.14374	0.00429	0.17104	1.55544	0.10654	0.04964	0.04044	0.00705	0.00215	0.91155	0.00458	0.1288	0.10709	0.00134	0.08069	0.09399	1.27315	0.01495
k__Bacteria|p__Firmicutes|c__Clostridia	3.15444	12.13293	44.68546	33.20996	8.11758	21.15175	14.54164	28.21059	13.52377	14.1843	9.82427	10.36985	37.11826	17.4078	16.73165	12.57236	26.99296	11.98343	23.7518	26.31613	21.45468	72.55808	22.21288	7.81577	32.38694
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.02744	1.50889	0.81645	0.34004	0.02624	0.21981	0.16252	0.30511	0.0707	0.21089	0.00146	0.00628	0.39253	0.06528	0.18479	0.23438	0.35456	0.06715	0.34588	0.05603	0.45915	0.08764	0.0313	0	1.47725
k__Bacteria|p__Firmicutes|c__Negativicutes	1.1683	2.89564	0.85822	4.45572	0.09148	0.00875	0.00856	0.00184	4.76934	1.60746	6.87602	0.0003	0.19093	2.16965	0.00192	2.78194	0	0.00609	1.05778	2.35601	2.30088	0.75734	0.03517	1.90311	0.23769
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	0	0	0	0	0	0	0	0	0.00073	0	0	0.0517	0	0.19286	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0	0.85887	0.15609	0.19686	0.60904	0.80002	0	1.44278	0.82519	0	0.90149	0.1422	0.0393	0.51248	2.01287	0.45394	0.09542	0	1.03977	2.5282	1.50686	0.25351	0.227	2.04233	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0	2.5591	3.25544	0.08551	0.6999	0.73323	0	2.47977	0.58279	0.94625	0.08342	0	1.773	1.51674	0.9856	0.24776	0	0.8588	0.88863	0.81675	0.72728	0.43153	0.82565	0	0.37383
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01905	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.48494	0.03087	3.51066	0.14491	1.1163	0.00048	14.43476	0.06039	0.08393	1.70113	7.9358	0.79551	0.70511	0.00671	0.00858	0.09502	5.14281	0.10658	0.0379	0.18271	0.00361	0.03345	0.37623	4.91325	1.27734
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.00694	4.56673	0	0	0	0.31396	0.10737	10.47057	0	0	0.41631	0	0.30433	0	0	1.59098	0	0	0.35868	1.31566	0	0	0	1.28112	25.24608
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01778	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname	0	0.01107	0.06999	0	0	0.00199	0	0.16832	0	0.2473	0	0.02083	0	0.04317	0	0	8.55787	0	0.36966	0	0.00208	0	0	0.02269	0.00633
