family	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0.08063	0	0	0	0	0	0	0	0	0.15264	0.00359	0	0	0	0	0	0	0	0.10772	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetales_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00702	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104	0.00273	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01765	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.05152	0.89561	0.06904	1.23995	0.2012	0	14.76133	0.01377	0	0.48097	0.03882	0.04533	3.33971	0.13874	0.25607	0	0	0.09689	0	1.19257	0.34748	0.65558	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.28627	0.374	1.67866	0.35633	0.16066	0.14641	3.31196	2.02142	0.03568	0.04027	0.149	0.05116	0.30992	0.27703	0.33454	0.02342	0.03259	0.21267	0.12934	0.31939	0.01247	0.24589	0.00063	0.00963	1.04846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	26.17006	35.06845	40.95352	7.93219	21.81857	57.00289	52.04821	40.26941	69.11844	80.39902	56.8554	63.86661	31.41476	56.01749	56.0093	42.69516	44.09249	61.99258	54.11478	36.17971	57.16784	5.7614	46.99798	16.84538	26.62693
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0	2.37741	0	0.28129	0	0	0	0	0	0	0	0.07694	0	0	0	0.28007	0	0	0.25158	6.65447	0	0.31646	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	12.32559	8.14689	3.61657	5.32644	6.34228	8.11053	0.54099	9.75122	6.51944	0	3.50447	15.75536	15.4181	7.27498	10.87629	28.98202	0	18.65502	1.5648	2.6438	10.53136	12.59943	15.67757	6.95608	4.15059
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	40.06683	0.63241	0.05297	33.82217	53.81839	0	0	0.54369	0	0.01063	0	0.00313	0.97759	2.09463	0.00795	3.07261	0	0	0	0	0	2.67682	0	56.92273	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	16.25767	25.02476	0.00137	8.77475	6.95474	11.48819	0	4.11739	4.46643	0	11.85811	8.75997	7.76248	12.43127	12.35385	6.96117	13.81975	6.01621	15.9606	19.33147	5.46718	3.43446	13.52057	0	7.15362
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01201	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00317	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	0	0	0	0	0	0	0	0	0.0608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0	0.72109	0	1.06637	0	0	0	0	0	0	1.18239	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01495
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	0	0.02487	0	0.57421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0	2.17041	0.27554	2.11268	0.04363	0.02199	0.08268	0.14374	0.00429	0.11024	0.37305	0.10654	0.04964	0.04044	0.00705	0.00215	0.91155	0.00458	0.1288	0.10709	0.00134	0.08069	0.09399	1.26999	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.23064	0.6778	3.11001	0.13839	0.02301	0.10426	3.77051	5.12207	3.06268	6.17914	0.36384	0.63772	0.69813	0.09161	0.28981	3.33394	7.03977	0.93428	3.58202	0.05573	0.75089	7.91864	0.04571	2.0595	11.4925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0.04364	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0.44158	0	0.00584	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.32609	0.00552	2.2797	0.01267	0.00634	0.06554	0.82539	0.0981	0.09483	0.23494	0.02176	0.21807	0.02195	0.20521	0.38492	0.28939	1.40113	0.11922	0.25001	0.03754	0.1573	0.0122	0.0197	0.04833	0.7189
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	1.17738	1.67946	5.67502	5.92196	1.31271	2.27118	1.36001	3.18743	2.0274	0	1.03769	0.01687	5.41861	1.30406	0.93247	1.52806	0.0716	2.3986	3.00147	7.62909	3.91174	1.84981	1.34458	0.11699	4.59445
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.03212	1.59005	18.75989	1.98414	1.64003	4.75703	2.84781	7.2677	2.44027	3.97616	2.06476	4.64459	8.11357	3.87489	1.86288	1.93588	0.3166	1.51578	2.89473	2.91861	3.60242	45.27342	4.69627	1.81011	2.50206
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.06745	0.06206	0.07313	0.8285	0.08583	0.20304	0	1.66228	0.92917	1.59949	1.32673	0.79891	0.38911	2.3229	1.53758	1.54892	3.43891	0.8787	1.64525	1.1738	0.79108	0.1679	0.56997	0	2.1624
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0	0.00642	0.09276	0	0	0	1.11631	0	0	0.05063	0.02325	0	0.01777	0.08176	0	0	0.09201	0	0	0.1797	0.02075	0	0.05948	0.0951	0.00669
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.32076	8.11162	14.69494	24.3243	5.04966	13.7507	4.62161	10.87301	4.96941	2.14393	4.98624	4.05369	21.97389	9.52736	11.71816	3.93617	14.63294	6.13686	12.37832	14.32167	12.22049	17.33612	15.47717	3.68574	10.90994
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.02744	1.50889	0.81645	0.34004	0.02624	0.21981	0.16252	0.30511	0.0707	0.21089	0.00146	0.00628	0.39253	0.06528	0.18479	0.23438	0.35456	0.06715	0.34588	0.05603	0.45915	0.08764	0.0313	0	1.47725
