phylum	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224
k__Archaea|p__Euryarchaeota	0	0	0	0.08063	0	0	0	0	0	0	0	0	0.15264	0.00359	0	0	0	0	0	0	0	0.10772	0	0	0
k__Bacteria|p__Actinobacteria	0.33779	1.26961	1.74771	1.59628	0.36186	0.14641	18.07329	2.03518	0.03568	0.52124	0.18782	0.09648	3.64963	0.41577	0.60825	0.03044	0.03259	0.30956	0.12934	1.51196	0.35995	0.90147	0.00167	0.01237	1.04846
k__Bacteria|p__Bacteroidetes	94.82015	71.24992	44.62443	56.13684	88.93398	76.60161	52.58919	54.6817	80.10431	80.40965	72.21798	88.462	55.57294	77.81837	79.24738	81.99103	57.91224	86.66381	71.89176	64.80945	73.16638	24.78857	76.19611	80.72419	37.93114
k__Bacteria|p__Deinococcus_Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01201	0
k__Bacteria|p__Firmicutes	4.35018	19.45383	46.63568	41.75898	8.27893	21.40229	14.7954	28.66129	18.36811	16.17369	18.25718	10.48298	37.75135	19.68317	16.92541	15.59083	28.25907	12.06125	25.28427	28.83526	24.21604	73.48375	22.37334	10.99204	34.11682
k__Bacteria|p__Fusobacteria	0	0	0	0	0	0	0	0	0	0.00073	0	0	0.0517	0	0.19286	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	0.48494	3.44884	6.92219	0.42727	2.42524	1.53373	14.43476	3.98294	1.49191	2.64738	8.92071	0.93771	2.51741	2.03593	3.02609	0.79672	5.23823	0.96538	1.96629	3.52766	2.23775	0.71849	1.42888	6.95558	1.65117
k__Bacteria|p__Verrucomicrobia	0.00694	4.56673	0	0	0	0.31396	0.10737	10.47057	0	0	0.41631	0	0.30433	0	0	1.59098	0	0	0.35868	1.31566	0	0	0	1.28112	25.24608
k__Eukaryota|p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01778	0	0	0	0
k__Viruses|p__Viruses_noname	0	0.01107	0.06999	0	0	0.00199	0	0.16832	0	0.2473	0	0.02083	0	0.04317	0	0	8.55787	0	0.36966	0	0.00208	0	0	0.02269	0.00633
