Taxon	S27499.01	S27499.02	S27499.03	S27499.04	S27499.05	S27499.06	S27499.07	S27499.08	S27499.09	S27499.10	S27499.11	S27499.12	S27499.13	S27499.14	S27499.15	S27499.16	S27499.17	S27499.18	S27499.19	S27499.20	S27499.21	S27499.22	S27499.23	S27499.24	S27499.25	S27499.26	S27499.27	S27499.28	S27499.29	S27499.30	S27499.31	S27499.32	S27499.33	S27499.34	S27499.35	S27499.36	S27499.37	S27499.38	S27499.39	S27499.40	S27499.41	S28297.01	S28297.02	S28297.03	S28297.04	S28297.05	S28297.06	S28297.07	S28297.08	S28297.09	S28297.10	S28297.11	S29419.01	S29419.02	S29419.03	S29419.04	S29419.05	S29419.06	S29419.07	S29419.08	S29419.09	S29419.10	S29419.11	S30119.01	S30119.02	S30119.03	S30119.04	S30119.05	S30119.06	S30119.07
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	4.0	239.0	43.0	89.0	2.0	0.0	3.0	132.0	2.0	0.0	83.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	109.0	0.0	33.0	0.0	1.0	44.0	0.0	4.0	0.0	0.0	0.0	224.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	624.0	99.0	132.0	485.0	393.0	474.0	476.0	329.0	196.0	302.0	75.0	72.0	276.0	617.0	1371.0	293.0	796.0	611.0	399.0	449.0	875.0	820.0	35.0	704.0	389.0	131.0	213.0	179.0	156.0	1333.0	303.0	455.0	221.0	283.0	391.0	322.0	214.0	203.0	232.0	377.0	326.0	49.0	333.0	127.0	384.0	1322.0	15.0	119.0	128.0	379.0	253.0	685.0	103.0	352.0	731.0	221.0	36.0	313.0	112.0	32.0	7.0	247.0	37.0	396.0	1760.0	79.0	232.0	547.0	168.0	464.0
k__Bacteria;p__Bacteroidetes	4345.0	2413.0	5944.0	5387.0	6307.0	5365.0	3654.0	2857.0	3899.0	3765.0	3642.0	3852.0	2065.0	3081.0	1618.0	3720.0	2388.0	5276.0	5320.0	4550.0	2829.0	3670.0	7006.0	1550.0	2023.0	5264.0	4465.0	3324.0	3404.0	4703.0	3421.0	3640.0	4090.0	4052.0	5142.0	1000.0	3786.0	2737.0	5400.0	3518.0	3296.0	2710.0	2744.0	5392.0	4198.0	1081.0	5177.0	1978.0	4798.0	6405.0	4741.0	2408.0	2905.0	2806.0	3734.0	4267.0	4611.0	1620.0	2707.0	4177.0	4645.0	4049.0	6151.0	2413.0	2541.0	3669.0	3170.0	2952.0	4404.0	3268.0
k__Bacteria;p__Fibrobacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	3271.0	3595.0	3278.0	3511.0	2725.0	2958.0	4771.0	4598.0	5224.0	4498.0	3160.0	5102.0	4586.0	6045.0	5321.0	4968.0	6132.0	3482.0	3162.0	4111.0	4626.0	4349.0	879.0	3684.0	4712.0	4088.0	2695.0	3566.0	1221.0	3407.0	5777.0	5220.0	4880.0	4552.0	3848.0	3667.0	4233.0	3944.0	3593.0	2637.0	2584.0	3761.0	3145.0	2198.0	1444.0	6779.0	3452.0	7274.0	4484.0	2964.0	4124.0	5902.0	3760.0	5782.0	4407.0	4590.0	2321.0	4032.0	3851.0	4905.0	4463.0	3769.0	3106.0	3801.0	3276.0	6122.0	4654.0	3928.0	3105.0	4762.0
k__Bacteria;p__Fusobacteria	0.0	7.0	5.0	127.0	9.0	47.0	1.0	14.0	113.0	2.0	3.0	61.0	1.0	1.0	0.0	0.0	1.0	2.0	641.0	67.0	1.0	0.0	199.0	0.0	0.0	1.0	13.0	349.0	1420.0	64.0	2.0	0.0	467.0	113.0	5.0	1.0	10.0	0.0	231.0	0.0	137.0	18.0	0.0	126.0	0.0	0.0	0.0	1.0	3.0	3.0	118.0	8.0	4.0	19.0	37.0	0.0	7.0	2.0	0.0	0.0	192.0	2.0	78.0	6.0	7.0	12.0	0.0	18.0	1164.0	386.0
k__Bacteria;p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	1559.0	3878.0	639.0	289.0	261.0	1155.0	1098.0	2188.0	552.0	1409.0	1928.0	909.0	515.0	245.0	1139.0	929.0	474.0	365.0	461.0	560.0	1534.0	531.0	1881.0	2369.0	438.0	390.0	2609.0	2579.0	3795.0	488.0	475.0	680.0	327.0	993.0	134.0	2048.0	1489.0	136.0	493.0	1292.0	3588.0	3413.0	1502.0	858.0	3969.0	233.0	1354.0	625.0	578.0	235.0	753.0	265.0	1630.0	1009.0	1075.0	716.0	2736.0	4026.0	3319.0	885.0	693.0	1932.0	481.0	3369.0	2416.0	90.0	1420.0	2535.0	1151.0	1119.0
k__Bacteria;p__Synergistetes	0.0	0.0	0.0	0.0	20.0	0.0	0.0	7.0	9.0	1.0	0.0	0.0	3.0	0.0	2.0	6.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	52.0	20.0	64.0	0.0	0.0	0.0	0.0	28.0	22.0	2.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	39.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0
k__Bacteria;p__TM7	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	4.0	1.0	1.0	1.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	4.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia	193.0	5.0	0.0	197.0	282.0	0.0	0.0	1.0	0.0	2.0	1192.0	0.0	2549.0	4.0	255.0	13.0	113.0	262.0	16.0	255.0	2.0	624.0	0.0	1.0	2335.0	34.0	1.0	1.0	2.0	1.0	5.0	1.0	7.0	5.0	312.0	2941.0	167.0	2974.0	26.0	2127.0	68.0	17.0	2250.0	1287.0	0.0	273.0	0.0	1.0	0.0	1.0	4.0	520.0	1594.0	1.0	14.0	116.0	285.0	4.0	5.0	0.0	0.0	0.0	137.0	10.0	0.0	24.0	508.0	3.0	3.0	1.0
k__Bacteria;p__unassigned	8.0	3.0	0.0	3.0	0.0	0.0	0.0	6.0	2.0	20.0	0.0	0.0	2.0	2.0	54.0	23.0	3.0	0.0	1.0	1.0	1.0	1.0	0.0	1508.0	27.0	72.0	4.0	1.0	2.0	2.0	16.0	3.0	5.0	0.0	3.0	1.0	3.0	6.0	22.0	0.0	1.0	0.0	3.0	10.0	5.0	59.0	2.0	2.0	6.0	9.0	3.0	210.0	4.0	8.0	2.0	9.0	3.0	2.0	2.0	1.0	0.0	1.0	8.0	5.0	0.0	4.0	9.0	4.0	5.0	0.0
