kegglevel3	SRR6000915	SRR6000939	SRR6000948	SRR6000918	SRR6000925	SRR6000937	SRR6000938	SRR6000930	SRR6000927	SRR6000872	SRR6000881	SRR6000883	SRR6000885	SRR6000887	SRR6000904	SRR6000913	SRR6000917	SRR6000919	SRR6000922	SRR6000935	SRR6000936	SRR6000941	SRR6000875	SRR6000876	SRR6000897	SRR6000889	SRR6000914	SRR6000916	SRR6000933	SRR6000929	SRR6000879	SRR6000882	SRR6000880	SRR6000884	SRR6000886	SRR6000888	SRR6000898	SRR6000924	SRR6000923	SRR6000926	SRR6000928	SRR6000934
Cellular_Processes;Cell_Communication;Adherens_junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Communication;Focal_adhesion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Communication;Tight_junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Growth_and_Death;Apoptosis	2.76354015717e-05	3.71493778017e-05	8.1854030842e-06	1.86904331099e-05	9.05461921598e-05	1.67910807784e-05	5.80015841412e-05	3.0680841579e-05	4.01186730828e-05	2.04464478514e-05	1.30311313109e-05	3.27825351459e-05	3.2582349129e-05	3.04245290074e-05	1.85477853e-05	2.45942821807e-05	1.3724799943e-05	3.56685625137e-06	3.61310374964e-06	1.04114707906e-05	2.42684223414e-07	0.000110829378498	2.35460168562e-06	5.6105849059e-05	1.93991978879e-06	2.9029528133e-05	4.77714432489e-05	1.41586575271e-07	1.22995598265e-05	4.58989124974e-07	2.76333015695e-05	1.34652975067e-05	3.82434551585e-07	1.14016089038e-07	3.45161798764e-05	8.6300950848e-05	3.38520081269e-05	4.06675993103e-06	2.85575272297e-05	1.40367051923e-05	9.60439426157e-07	2.46395897171e-05
Cellular_Processes;Cell_Growth_and_Death;Cell_cycle	0.0	0.0	0.0	0.0	9.33348555262e-06	0.0	0.0	0.0	0.0	1.0796804146e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.60523975941e-07	4.1963014722e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11840634241e-06	2.01851168657e-06	0.0	0.0	0.0	5.79314498313e-08	6.38670237472e-07	0.0	0.0	0.0	0.0	9.89824799031e-07	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Growth_and_Death;Cell_cycle_-_Caulobacter	0.00519142914558	0.00479771933522	0.00520782828052	0.00504124369479	0.00474345947463	0.00517867004783	0.00499042170858	0.00503919192512	0.00515278279778	0.00517457082704	0.00489785260543	0.00535212201958	0.00518598063297	0.00510337289234	0.00510286669174	0.00496285117694	0.00504855930534	0.00532657527374	0.00514449297811	0.00487552613421	0.00512900971975	0.0049672437212	0.0050052190652	0.00499612529816	0.0051408620526	0.00506032301927	0.00506263757156	0.00480495281167	0.00475683492491	0.00430099038051	0.00486566247133	0.00500712143926	0.00509625909533	0.00475743533121	0.0051899925394	0.00491097556388	0.00503563468259	0.00540529673142	0.00484928192327	0.00499757093017	0.00412848581331	0.00486975850576
Cellular_Processes;Cell_Growth_and_Death;Cell_cycle_-_yeast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Growth_and_Death;Meiosis_-_yeast	3.77927842685e-05	9.90138375292e-06	5.19205494903e-05	1.54362952024e-05	0.000168913323903	3.5503529009e-05	3.79264884587e-05	1.08547727073e-05	4.5610556405e-06	8.94785143597e-05	7.22579319138e-06	8.45822576276e-06	4.97172897067e-05	2.90571344452e-06	1.3421851908e-05	2.31430667726e-05	1.6293183558e-05	1.57780935355e-05	2.66377845071e-05	4.61417455493e-06	8.73663204291e-06	3.86344399865e-05	2.55987465308e-05	1.38010679391e-05	1.70862166013e-05	4.26938177424e-05	0.00011274228816	1.84062547852e-06	4.28500793956e-06	2.57689608735e-05	1.15283585164e-05	4.47601391428e-05	1.33852093055e-06	0.000216915609395	7.8156727545e-05	4.83520869422e-05	0.000103337709019	6.70156213986e-06	1.7562115676e-05	2.656176521e-05	0.000297551522219	0.000174353238912
Cellular_Processes;Cell_Growth_and_Death;Oocyte_meiosis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular_Processes;Cell_Growth_and_Death;p53_signaling_pathway	0.0	0.0	0.0	3.58789564163e-06	5.69114972721e-08	1.75429202162e-06	4.32386676239e-07	2.3791282646e-06	3.31374654698e-05	9.58216367955e-06	4.07608846693e-06	2.90233236957e-05	1.10987683288e-05	0.0	5.39571936e-07	1.10750649572e-05	0.0	0.0	0.0	0.0	0.0	1.97883717004e-05	0.0	0.0	0.0	0.0	2.15307913234e-05	0.0	0.0	6.55698749963e-08	0.0	0.0	0.0	0.0	2.03864446098e-05	1.91052901043e-05	0.0	1.14556617775e-07	1.38969784914e-05	2.879324142e-07	4.0633975722e-07	3.68968475459e-06
