Taxon	SRR6000872	SRR6000875	SRR6000876	SRR6000879	SRR6000880	SRR6000881	SRR6000882	SRR6000883	SRR6000884	SRR6000885	SRR6000886	SRR6000887	SRR6000888	SRR6000889	SRR6000897	SRR6000898	SRR6000904	SRR6000913	SRR6000914	SRR6000915	SRR6000916	SRR6000917	SRR6000918	SRR6000919	SRR6000922	SRR6000923	SRR6000924	SRR6000925	SRR6000926	SRR6000927	SRR6000928	SRR6000929	SRR6000930	SRR6000933	SRR6000934	SRR6000935	SRR6000936	SRR6000937	SRR6000938	SRR6000939	SRR6000941	SRR6000948
k__Archaea;p__Euryarchaeota	19.0	0.0	0.0	1.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	18.0	0.0	0.0	40.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	93.0	15.0	37.0	7.0	35.0	115.0	55.0	51.0	274.0	45.0	220.0	17.0	5.0	57.0	33.0	106.0	34.0	68.0	29.0	12.0	17.0	33.0	13.0	2466.0	14.0	25.0	118.0	288.0	63.0	26.0	121.0	1.0	211.0	71.0	2.0	53.0	3.0	16.0	65.0	308.0	186.0	107.0
k__Bacteria;p__Bacteroidetes	4357.0	6206.0	7335.0	5854.0	7109.0	3713.0	5932.0	5490.0	4969.0	2614.0	4617.0	5609.0	7389.0	2565.0	6286.0	3804.0	5198.0	5995.0	3516.0	6346.0	6253.0	5791.0	6256.0	1115.0	5850.0	8272.0	3601.0	2491.0	4272.0	6172.0	105.0	6578.0	3241.0	5719.0	6728.0	5998.0	8664.0	3595.0	4833.0	4598.0	5649.0	3253.0
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	4216.0	3556.0	2295.0	3840.0	2747.0	4979.0	3492.0	3812.0	1860.0	6601.0	4074.0	4082.0	2157.0	6582.0	3154.0	4810.0	4409.0	2831.0	5010.0	3089.0	2184.0	3957.0	3472.0	5484.0	3646.0	1390.0	5923.0	5075.0	4999.0	3098.0	4767.0	1699.0	5647.0	2523.0	1689.0	3204.0	1104.0	5419.0	3671.0	4686.0	3476.0	6085.0
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	0.0	3.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	9.0	0.0	0.0	0.0	1.0	2.0	9.0	1.0	0.0	1.0
k__Bacteria;p__Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	13.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	413.0	70.0	331.0	269.0	72.0	1063.0	236.0	569.0	1187.0	204.0	533.0	66.0	157.0	566.0	495.0	503.0	330.0	939.0	362.0	374.0	1243.0	106.0	244.0	933.0	339.0	311.0	259.0	185.0	228.0	575.0	1150.0	1719.0	561.0	1616.0	273.0	718.0	222.0	526.0	1123.0	229.0	433.0	88.0
