phylum	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0.01021	0	1.60429	0	0	0	0	0	0	0	0	0	0	0	1.40483	0.03236	0.30926	0	0.1995	0	0	0	0	0.67978	0	0.1801	0	0	0	3.39755	0	0
k__Bacteria|p__Actinobacteria	2.17432	1.192	0	3.58224	2.4493	0.07273	3.18374	1.32422	0.06756	0.98041	0.20078	2.60057	1.16119	0.27197	1.30251	2.10004	9.84884	0.23258	34.16885	4.09071	0.49776	1.43483	0.6742	3.43888	1.88985	0.5039	0.14187	2.48298	0.21464	1.64135	2.57581	2.55627	0.97585	2.50564	0.10039	0	4.42486	0.30737	2.41392
k__Bacteria|p__Bacteroidetes	57.72157	61.52112	96.80846	70.67972	52.31878	77.26292	75.46603	73.784	80.26935	34.60285	46.5698	51.63652	78.36689	86.65217	63.0971	63.05015	48.02504	69.7595	15.80037	47.00051	30.57526	40.58978	66.42192	48.89658	64.24655	76.44644	66.80389	64.21512	74.15447	53.76834	66.2941	46.38633	76.30783	49.38773	88.16037	73.21428	44.45333	48.16082	67.48972
k__Bacteria|p__Candidatus_Saccharibacteria	0	0	0	0	0	0	0	0	0	0	0	0.00716	0	0	0	0	0.00223	0	0	0	0	0.00181	0	0	0	0	0	0.00222	0	0	0	0	0.00255	0	0	0	0	0	0
k__Bacteria|p__Firmicutes	39.08997	29.18307	3.1345	22.19611	37.01359	16.30336	18.00303	22.44006	18.50856	25.91116	41.75105	26.60284	17.90361	11.6831	27.94534	33.50786	9.52351	17.8167	42.60559	34.25146	65.76169	47.1677	31.1042	46.38615	32.09185	19.13229	23.03434	19.7044	24.73746	33.87685	17.16706	43.70717	19.09361	14.46705	10.85019	14.08195	33.76365	41.6132	29.41637
k__Bacteria|p__Fusobacteria	0	0.12978	0	0	0	0	0	0	0	0	0.00723	0.07531	0.09097	0	0	0.00125	0	0	0	0	0	0	0	0	0	0	0.26522	0	0	0.16077	0	0.02029	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	0.92005	7.9209	0.05604	0.78324	8.20523	1.42595	2.66313	1.92615	1.03234	0.35603	7.15239	17.02959	2.47092	1.3905	0.64859	1.29167	10.61115	0.96937	7.41986	1.34598	0.12822	8.36698	1.76732	0.54347	1.47388	1.00896	9.75103	10.91096	0.71662	10.54447	1.78957	4.01374	0.61638	33.26576	0.86539	10.23941	1.31211	5.22337	0.14867
k__Bacteria|p__Synergistetes	0	0	0	0.16314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37152	3.3162	0.13136	0	0	0	6.2779	0	0
k__Bacteria|p__Verrucomicrobia	0.09222	0.04382	0.001	2.59555	0.0131	4.93504	0.68408	0	0.12218	36.54526	4.31172	2.04481	0.00642	0.00227	7.00009	0	21.98923	0	0.00066	13.31134	3.03458	1.03406	0	0.42567	0	2.68429	0.00365	2.67934	0.17681	0.00564	11.10643	0	1.26092	0.37382	0.02139	0	6.3706	0.17154	0.53132
k__Eukaryota|p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00367	0	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227	0	0	0	0
k__Viruses|p__Viruses_noname	0.00187	0.00932	0	0	0	0	0	0.51536	0	0	0.00703	0.00321	0	0	0.00637	0.04903	0	11.22185	0.00101	0	0	0	0	0	0.29787	0.02463	0	0.00498	0	0.00258	0.01572	0	1.4314	0	0	2.46436	0	4.5237	0
