Taxon	SRR9207262	SRR9207263	SRR9207264	SRR9207265	SRR9207266	SRR9207267	SRR9207268	SRR9207269	SRR9207270	SRR9207271	SRR9207272	SRR9207273	SRR9207274	SRR9207275	SRR9207276	SRR9207277	SRR9207278	SRR9207279	SRR9207280	SRR9207281	SRR9207282	SRR9207283	SRR9207284	SRR9207285	SRR9207286	SRR9207287	SRR9207288	SRR9207289	SRR9207290	SRR9207291	SRR9207292	SRR9207293	SRR9207294	SRR9207295	SRR9207296	SRR9207297	SRR9207298	SRR9207299	SRR9207300	SRR9207301	SRR9207302	SRR9207303	SRR9207304	SRR9207305	SRR9207306	SRR9207307	SRR9207308	SRR9207309
k__Archaea;p__Euryarchaeota	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	166.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	18.0	0.0	0.0	0.0	104.0	0.0	592.0	0.0	0.0	0.0	21.0	76.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	19.0	91.0	110.0	66.0	52.0	86.0	90.0	208.0	148.0	14.0	7.0	5.0	265.0	173.0	170.0	276.0	5.0	861.0	39.0	530.0	199.0	42.0	54.0	13.0	209.0	373.0	17.0	40.0	25.0	477.0	25.0	12.0	45.0	443.0	51.0	531.0	301.0	62.0	11.0	459.0	76.0	65.0	63.0	256.0	35.0	39.0	978.0	7.0
k__Bacteria;p__Bacteroidetes	4658.0	6828.0	4047.0	4502.0	2581.0	2251.0	2331.0	4661.0	3227.0	4836.0	4384.0	5276.0	2549.0	1071.0	3164.0	4065.0	7579.0	3653.0	5739.0	4113.0	2919.0	5849.0	3213.0	1656.0	4454.0	2651.0	3684.0	4365.0	2727.0	5541.0	5945.0	8119.0	3181.0	5125.0	5676.0	5966.0	4239.0	3825.0	3527.0	6561.0	3809.0	6550.0	3028.0	2692.0	4710.0	4357.0	3238.0	4325.0
k__Bacteria;p__Firmicutes	4246.0	2823.0	4891.0	4431.0	6175.0	6984.0	7491.0	4766.0	6073.0	4718.0	5353.0	3706.0	5624.0	7724.0	5876.0	4733.0	1225.0	4170.0	3975.0	5175.0	6020.0	3325.0	5154.0	7732.0	4831.0	6432.0	5160.0	4256.0	5172.0	3191.0	3721.0	1486.0	5429.0	3658.0	3228.0	2386.0	4927.0	5839.0	5987.0	2672.0	5888.0	2806.0	5915.0	4905.0	4120.0	5170.0	4457.0	4396.0
k__Bacteria;p__Fusobacteria	462.0	0.0	153.0	16.0	1.0	0.0	0.0	32.0	10.0	2.0	0.0	0.0	0.0	0.0	114.0	190.0	335.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	60.0	0.0	0.0	0.0	1.0	488.0
k__Bacteria;p__Lentisphaerae	15.0	0.0	15.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	5.0	12.0	0.0	10.0	4.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	3.0	0.0	0.0	22.0
k__Bacteria;p__Proteobacteria	371.0	189.0	377.0	280.0	594.0	173.0	8.0	122.0	320.0	412.0	239.0	287.0	431.0	391.0	502.0	525.0	762.0	509.0	227.0	82.0	847.0	765.0	456.0	399.0	228.0	303.0	711.0	744.0	672.0	573.0	282.0	378.0	1085.0	354.0	1017.0	1089.0	247.0	264.0	458.0	303.0	14.0	546.0	588.0	267.0	958.0	413.0	590.0	514.0
k__Bacteria;p__Synergistetes	1.0	9.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	28.0	2.0	0.0	0.0	2.0	20.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	523.0	17.0	19.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia	44.0	0.0	283.0	83.0	505.0	2.0	62.0	206.0	154.0	0.0	4.0	721.0	829.0	373.0	118.0	179.0	87.0	351.0	0.0	1.0	3.0	0.0	357.0	7.0	132.0	32.0	267.0	540.0	703.0	0.0	0.0	1.0	104.0	52.0	0.0	23.0	140.0	0.0	1.0	1.0	116.0	23.0	125.0	1488.0	132.0	9.0	235.0	107.0
k__Bacteria;p__unassigned	184.0	59.0	121.0	622.0	84.0	504.0	17.0	4.0	67.0	18.0	13.0	5.0	126.0	249.0	56.0	32.0	1.0	456.0	18.0	98.0	10.0	19.0	225.0	174.0	122.0	176.0	54.0	44.0	77.0	207.0	27.0	3.0	127.0	272.0	27.0	4.0	141.0	10.0	15.0	4.0	97.0	5.0	92.0	392.0	42.0	12.0	501.0	141.0
