order	ERR2213660	ERR2213661	ERR2213662	ERR2213663	ERR2213664	ERR2213665	ERR2213666	ERR2213667	ERR2213668	ERR2213669	ERR2213670	ERR2213671	ERR2213672	ERR2213673	ERR2213674	ERR2213675	ERR2213676	ERR2213677	ERR2213678	ERR2213679	ERR2213680	ERR2213681	ERR2213682	ERR2213683	ERR2213684	ERR2213685	ERR2213686	ERR2213687	ERR2213688	ERR2213689	ERR2213690	ERR2213691	ERR2213692	ERR2213693	ERR2213694	ERR2213695	ERR2213696	ERR2213697	ERR2213698	ERR2213699	ERR2213700	ERR2213701	ERR2213702	ERR2213703	ERR2213704	ERR2213705	ERR2213706	ERR2213707	ERR2213708	ERR2213709	ERR2213710	ERR2213711	ERR2213712	ERR2213713	ERR2213714	ERR2213715	ERR2213716	ERR2213717	ERR2213718	ERR2213719	ERR2213720	ERR2213721	ERR2213722	ERR2213723	ERR2213724	ERR2213725	ERR2213726	ERR2213727	ERR2213728	ERR2213729	ERR2213730	ERR2213731	ERR2213732	ERR2213733	ERR2213734	ERR2213735	ERR2213736	ERR2213737	ERR2213738	ERR2213739	ERR2213740	ERR2213741	ERR2213742	ERR2213743	ERR2235210	ERR2235211	ERR2235212	ERR2235213	ERR2235214	ERR2235215	ERR2235216	ERR2235217	ERR2235218	ERR2235219	ERR2235220	ERR2235221	ERR2235222	ERR2235223	ERR2235224	ERR2235225	ERR2235226	ERR2235227	ERR2235228	ERR2235229	ERR2235230	ERR2235231	ERR2235232	ERR2235233	ERR2235234	ERR2235235	ERR2235236	ERR2235237	ERR2235238	ERR2235239	ERR2235240	ERR2235241	ERR2235242	ERR2235243	ERR2235244	ERR2235245	ERR2235246	ERR2235247	ERR2235248	ERR2235249	ERR2235250	ERR2235251	ERR2235252	ERR2235253	ERR2235254	ERR2235255	ERR2235256	ERR2235257	ERR2235258	ERR2235259	ERR2235260	ERR2235261	ERR2235262	ERR2235263	ERR2235264	ERR2235265	ERR2235266	ERR2235267	ERR2235268	ERR2235269	ERR2235270	ERR2235271	ERR2235272	ERR2235273	ERR2235274	ERR2235275	ERR2235276	ERR2235277	ERR2235278	ERR2235279	ERR2235280	ERR2235281	ERR2235282	ERR2235283	ERR2235284	ERR2235285	ERR2235286	ERR2235287	ERR2235288	ERR2235289	ERR2235290	ERR2235291	ERR2235292	ERR2235293	ERR2235294	ERR2235295	ERR2235296	ERR2235297	ERR2235298	ERR2235299	ERR2235300	ERR2235301	ERR2235302	ERR2235303	ERR2235304	ERR2235305	ERR2235306	ERR2235307	ERR2235308	ERR2235309	ERR2235310	ERR2235311	ERR2235312	ERR2235313	ERR2235314	ERR2235315	ERR2235316	ERR2235317	ERR2235318	ERR2235319	ERR2235320	ERR2235321	ERR2235322	ERR2235323	ERR2235324	ERR2235325	ERR2235326	ERR2235327	ERR2235328	ERR2235329	ERR2235330	ERR2235331	ERR2235332	ERR2235333	ERR2235334	ERR2235335	ERR2235336	ERR2235337	ERR2235338	ERR2235339	ERR2235340	ERR2235341	ERR2235342	ERR2235343	ERR2235344
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	2.10777	0	0	0	0	0	0	0.27888	0	0	0.89883	0	0	0	0	0	0	1.50437	0.00716	0.0467	0.05633	0	0	0	0	0	0	0	0	0	0.05955	0	0	0	0	0	0	0	0	0	0.15504	0.12159	0	0.34239	0.19493	0.07795	0.87376	0.43544	0	0.7009	0.82478	0	0	0	0.08782	0	0	0	0	0	0	0.07847	0	0	1.78783	0.3578	0.67443	0	0	0.85439	0	0.23172	0	0	0	0	0	0	0	0	0.00552	0.16923	0	0	0.10238	0	0.17216	0	0	0.11358	0	0	0.57268	0	0.03928	0	0	0	0.18474	0.02795	0	0.01029	0	0	0	0	0.04661	0.16621	0	0.06234	0.58013	0	0	0.00583	0	0	0	0	0.15667	0.24735	0.25852	2.07802	1.79912	0.01555	0	0	0.16189	0	0	0	0	0.02215	0.20136	0	0	0	0	0	0	0	0	0.22898	0.21615	0.22501	0.46479	0.23868	0.29138	0	0.48192	0.06966	0	0	0	0	0.04015	0.03251	0.08182	0.03023	0	0	0	0	0	0	0	0	0	0.04097	0	0	0.26898	0.02538	0.18512	1.91988	0.08084	0.03384	0.07301	0.11027	0.07966	0.00478	0.00581	0.11841	0.11454	0	0	0	0	0	0.14284	0	0.03607	0.33019	0.08402	0	0	0	0.07539	0	0	0.10203	0	0	0	0	0.02055	0.12969	0.05562	0.33559	1.06985	0	0	0	0.06446	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00753	0	0	0	0	0.00687	0	0	0	0	0	0	0	0	0	0	0.00604	0	0	0	0	0	0.00612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00817	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.00646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01088	0.00974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066	0	0	0	0	0	0	0.008	0	0	0	0	0	0.00721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.04801	0.01963	0.00605	0	0.03507	0	0	0.04201	0	0.0397	0	0.00286	0.02673	0.00432	0.10365	0	0	0	0	0	0	0.01599	0	0.00302	0.01253	0	0	0	0	0	0.00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00651	0	0	0	0.02254	0.14474	0	0.04384	0	0	0	0	0.01979	0	0.01363	0.02999	0	0.01047	0.02443	0.00392	0.03235	0.00065	0.00537	0	0	0.00294	0.02952	0.02174	0.03488	0	0.00266	0	0	0	0.02658	0.00036	0	0	0	0	0	0	0	0	0	0.01591	0	0	0	0.00674	0.01003	0.03124	0.01486	0.0029	0.04629	0.01503	0	0.01013	0.00623	0	0.03195	0	0	0.00171	0	0.00447	0.07915	0	0.08527	0	0	0	0	0	0	0	0	0	0	0.00418	0	0	0	0	0	0.00043	0	0	0.00086	0	0	0	0	0	0	0.00556	0	0.01872	0.00062	0.00328	0.04009	0	0.00373	0.00167	0.00836	0	0	0.01285	0	0.00538	0	0.01214	0.0173	0.04187	0.04856	0.09566	0	0	0.00551	0	0.02263	0.01221	0.00215	0.06237	0	0.04355	0.01622	0.00227	0.00991	0	0	0.17025	0	0	0.0116	0.00571	0	0	0	0.05545	0.00194	0	0.00781	0	0.35137	0	0	0.03104	0	0.00134	0	0	0.00862	0	0.00687	0	0.11186	0	0.00219	0	0	0	0.00487	0	0.01719	0.02156	0	0	0.05055	0.04445	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.03273	1.68058	0.22693	0.25459	3.0348	0.61828	0.71356	2.20477	1.36038	1.97805	0.04372	0.60506	0.34901	5.92328	0.64674	1.21213	0.64752	1.61887	1.54445	0.23906	0.93957	0.12386	0.53468	0.53979	0.55878	2.92596	3.2112	2.85153	0.01326	0.12073	0.07009	0	0	0	0.00488	0.20594	0	0.70354	0.28152	0	0.04099	7.58582	2.74667	3.15348	0.11101	0.01603	0.01823	1.11621	0.7938	0.74067	0	3.89123	0.27497	1.84044	0	0.19263	0.88698	2.27369	4.03582	0.14325	0.57789	0.25779	0	0	0	0.15045	0.07489	2.51796	5.23497	0.98743	0.53053	0.21	1.93208	0	0.01656	0.1822	1.28948	0.23025	0.05685	0.03853	0	0	0	0	0.00295	6.79414	0.34273	2.19734	6.13389	0	0	0.67166	0	0.72236	0.01638	3.49948	2.32582	0.97307	0.04607	0	6.51773	1.67113	1.48829	0.00872	0.00291	0.05725	0.02924	0.06474	0.04881	1.33478	0.03685	0.87355	0.22266	0	1.99892	0.93768	0	0.11111	0.3096	0.83992	0.03575	0.01162	1.15397	1.92613	0.8594	3.60025	1.34555	0.3519	0.5152	0.99818	0.92163	0.42792	0.0611	0.04476	0.45927	0.6652	1.27379	0	0	0.14607	0.35212	1.17127	0.95004	9.22546	6.82214	0.66268	0.41807	1.70824	0.38572	0.35904	3.11139	0.06499	0	0	0	0	0.58803	0.88955	0.00442	0	0.0155	1.55683	0.54457	0.38291	0.1782	0.02533	0.14611	0.06054	0.02526	0	1.03579	0.30353	0.06924	0.18263	0.2222	3.80021	3.16436	0.57883	2.24992	0.67361	0.02516	0.03903	0.02387	0.28507	0.25135	0.14086	0.31475	0.12933	0.11962	0.01148	0.81167	0.46123	1.10774	1.23436	4.44132	0.10225	0	0.03787	16.49356	0	0.60705	0.57837	0.0031	1.67019	0.59297	0.62033	0.15955	0.06701	0.10711	1.37009	0	1.46935	1.83757	0.41705	0.22313	0.42152	0.51789	0.0222	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.13104	0.09522	0.18075	0.30367	0.5427	0	0.10012	0.92156	0.53079	0.79831	0.40203	0.054	0.13513	0.35302	0.73204	0.48732	0.26464	0.43794	0.53262	0.05055	0.24073	0.08016	0.07942	0.10883	0.15433	0.63042	0.37626	0.73528	0.08995	0.00627	0.03715	0.17263	0.83806	3.73283	0.249	0.2847	0.2718	0.66973	1.33208	0	0.0966	0	0.25126	1.15108	0.36444	0.82927	0.36447	0.19236	0.18675	0.06486	1.13952	0.69588	4.01539	0.31521	1.03671	0.32884	1.15852	0.22664	0.76496	0.80878	0.6101	0.63243	0.5078	0.18875	0.05796	0.62423	0.23479	0.44188	0.4052	0.42827	0.20291	0.04232	0.15702	0.79345	0	0.18699	1.24007	0.04528	0.10029	0.14549	0.16923	0.20994	0.16077	0.11092	0.01434	8.80202	0.0954	0.62559	0.03159	0	0.07715	0.06917	0.13151	0.38516	0.75424	1.86314	0.10338	0.14304	0.10153	0.66668	0.23561	0.13693	0.73855	0.43025	0.62704	0.2854	0.0252	0.10146	0.54634	0.09589	0.57257	0.64852	0.10581	0.24473	1.00863	0.31511	0.06486	0.02036	0.73642	0.03664	0.10251	0.19336	0.32066	0.59098	0.43248	0.14828	0.05073	0.03889	0.08722	0	0.66728	0.19492	0.09757	0.0153	0.07945	0.06179	0.09983	0.06823	0.0649	0.14441	0.12247	0.17397	0.10311	0.82576	0.45302	0.42681	0.40463	0.8956	1.38755	1.00131	0.74826	0.03646	0.24542	0.15317	0.14519	0.03253	0.24255	0.15282	0.04306	0.04107	0.04433	0.02921	0.14533	0.06026	0.07226	0.12246	0.22227	0.61252	0.29378	0.10741	0.72093	0.3277	0.24061	0.19506	0.35086	0.33761	0.70469	3.76345	0.07024	0.14738	0.02443	0.04183	0.06802	0.40959	0.43355	0.10914	0.09928	0.00996	0	0.01604	0.58262	0.26567	0.18545	0.49824	0.19626	0.01007	0.69473	0.0352	1.36122	0.1743	0.09642	0.12575	0.04759	0.21125	0.22203	0.30478	0.20563	0.1025	0.02654	0.03153	0.38015	0.67753	0.67232	0.43827	0.33326	0.16172	0.37678	0.01838	0.0526
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	46.86769	55.11901	40.29399	0	30.59449	45.23752	51.11572	28.65348	53.6109	35.90002	64.99327	43.72773	71.15498	55.30259	16.85205	49.79171	41.4119	76.56733	77.60905	65.43554	34.02195	35.40268	77.67841	58.9766	66.27826	39.0593	40.33311	39.38377	55.98869	34.19499	38.43942	74.74414	54.90445	90.22891	43.49723	43.42796	63.63126	53.22184	43.038	79.62467	28.63295	53.33678	47.76158	57.18881	44.06753	46.07845	49.11605	23.15472	20.38678	19.65941	22.28208	41.63526	45.51329	30.48618	30.06829	55.783	45.8302	43.38778	32.77101	29.40509	48.323	57.15181	49.713	30.23612	65.52252	28.7917	56.08424	63.97378	67.93493	62.80144	67.75022	51.06209	65.89693	26.06155	48.63096	58.66798	53.49911	77.49482	74.55234	77.32861	64.74761	53.43919	62.1631	45.97947	52.07912	37.14094	64.94294	48.01204	52.7187	99.50705	60.35435	47.03079	61.73463	43.35277	60.24401	27.79923	42.04762	38.79354	52.56721	73.29108	36.94668	35.53698	27.66952	49.95735	67.02576	73.32208	76.25406	59.42257	64.531	77.45432	52.61246	39.48306	35.66015	46.08152	39.00746	47.38028	70.71209	73.51703	67.12502	71.55991	67.62729	67.61981	49.36911	39.39323	43.43614	39.01515	31.19115	50.50178	49.74893	11.79094	47.59667	44.94367	55.62622	47.11857	45.74716	60.22456	58.30517	67.32712	70.88736	69.38972	59.57925	48.14555	64.04724	54.61306	40.57424	19.61439	29.15403	24.71089	36.59425	40.37634	18.51222	30.33504	46.28211	36.04334	61.11407	53.23369	66.85036	25.74372	40.69096	46.91051	48.27115	42.79228	42.14205	60.7698	42.57122	35.07224	38.27236	57.09392	63.08961	49.34932	24.30892	60.79528	75.99657	57.165	32.49751	24.94713	41.04017	29.12285	42.76052	61.68634	50.90747	45.60278	51.84243	47.408	37.35512	24.13421	22.07512	43.87877	61.57027	14.0821	39.95798	52.44861	21.93412	59.3415	36.70003	28.45395	56.83282	85.10337	43.84727	67.0094	41.93493	42.57767	28.96931	57.74494	38.41098	58.95819	50.78644	77.97282	40.46925	65.43675	57.16864	49.07939	71.07317	78.6318	50.73482	32.38669	32.8823	48.82699	65.0045
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01393	0	0	0	0.01215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01104	0	0	0	0	0	0	0	0	0	0	0.01167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01617	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0	0	0	0	0	0	0.00883	0.00923	0	0.00905	0	0	0	0	0.0229	0	0	0	0	0	0	0	0	0	0	0.05667	0.00404	0.01449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00635	0	0	0	0	0	0	0	0	0	0	0	0.00171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00179	0.00569	0	0	0.00496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00594	0	0	0	0	0.01253	0	0	0	0	0.00379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01235	0.00222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
